"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","oracle"
"37","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",42,1249.82010994074,1,1,0.620701193834652,0.280605341801811,0.3378,"observed"
"38","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",43,1188.79049233421,1,1,0.648184694765919,0.28614150375812,0.3446,"observed"
"39","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",44,1089.24960909601,1,1,0.644916666540109,0.289464959625478,0.3645,"observed"
"40","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",45,1190.5393565255,0.9925,1,0.650494760935708,0.284733974498827,0.328,"observed"
"41","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",46,1460.17283973625,0.99,1,0.703159940164396,0.294808354793217,0.3399,"observed"
"42","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",47,1116.97441171319,1,1,0.636335296465735,0.286206931543414,0.3572,"observed"
"43","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",48,1043.20920522159,1,1,0.593996480368898,0.277086965719246,0.3414,"observed"
"44","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",49,1177.22179310531,1,1,0.629083853358891,0.280202887854828,0.3321,"observed"
"45","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",5,1107.76894161138,1,1,0.62834293641672,0.282081194583275,0.3366,"observed"
"46","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",50,1249.71268340264,1,1,0.656538163501052,0.289943819323171,0.3473,"observed"
"47","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",6,1311.75119597175,0.9825,1,0.689375073052984,0.293223389399342,0.3354,"observed"
"48","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",7,1147.64741432936,0.9975,1,0.617582057381771,0.277834063948525,0.3304,"observed"
"49","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",8,1273.19470637873,0.99,1,0.663273010014537,0.287882461757888,0.3226,"observed"
"50","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",9,1305.5708591252,1,1,0.67301506712315,0.287617709049125,0.327,"observed"
"51","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",1,927.735320858442,1,1,0.407927235269594,0.223143204174553,0.2954,"ORC_fine"
"52","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",10,1185.33546686105,1,1,0.48395038059613,0.237922202306878,0.2885,"ORC_fine"
"53","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",11,941.787736686558,1,1,0.404756027803134,0.225883116815074,0.3074,"ORC_fine"
"54","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",12,1059.14610408694,1,1,0.449282198163584,0.235055641275296,0.3,"ORC_fine"
"55","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",13,1025.1549390352,1,1,0.450076315869158,0.235697020976565,0.3148,"ORC_fine"
"56","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",14,1056.55717048717,1,1,0.46213051190742,0.238003492389672,0.3027,"ORC_fine"
"57","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",15,1034.31779256488,1,1,0.424687331927882,0.229074075032019,0.2904,"ORC_fine"
"58","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",16,1096.82321922274,1,1,0.450974115308651,0.233381538190577,0.2986,"ORC_fine"
"59","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",17,980.45120729398,1,1,0.431119668022157,0.232849275007313,0.3098,"ORC_fine"
"60","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",18,916.958623041528,1,1,0.397830336488995,0.223165690082021,0.2999,"ORC_fine"
"61","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",19,1023.96402388296,1,1,0.435345377821385,0.23255829968204,0.3095,"ORC_fine"
"62","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",2,1034.44467009405,1,1,0.41678919319317,0.226591955842173,0.3067,"ORC_fine"
"63","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",20,1028.34085620411,1,1,0.42098915019611,0.228087261082974,0.3086,"ORC_fine"
"64","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",21,943.043617877159,1,1,0.415459503129588,0.227497387506959,0.2971,"ORC_fine"
"65","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",22,969.782031200329,1,1,0.429105826642591,0.231938542835538,0.3145,"ORC_fine"
"66","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",23,1206.36787224361,1,1,0.493326557876339,0.241084611243043,0.3023,"ORC_fine"
"67","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",24,1009.41933148545,1,1,0.45050627988842,0.236853644761691,0.3181,"ORC_fine"
"68","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",25,1152.53280033215,1,1,0.470373923063008,0.237528298623126,0.3081,"ORC_fine"
"69","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",26,1017.82901873686,1,1,0.438037814481656,0.23292613738755,0.3121,"ORC_fine"
"70","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",27,1120.7886493156,1,1,0.449140336926913,0.230247676279203,0.2791,"ORC_fine"
"71","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",28,1078.57096471518,1,1,0.440730937331814,0.230303363476859,0.2998,"ORC_fine"
"72","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",29,1246.89131968806,1,1,0.494970072535465,0.24304084736583,0.314,"ORC_fine"
"73","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",3,1040.47478781067,1,1,0.44267522650835,0.233200834600211,0.3134,"ORC_fine"
"74","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",30,1162.70897102696,1,1,0.482149054504483,0.239389775047235,0.2895,"ORC_fine"
"75","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",31,1052.28043533687,1,1,0.441573613004511,0.231125724584532,0.2939,"ORC_fine"
"76","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",32,951.781995906209,1,1,0.422997639205379,0.229543362823689,0.3104,"ORC_fine"
"77","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",33,1134.97120635922,1,1,0.457412626946073,0.236185412874129,0.3075,"ORC_fine"
"78","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",34,1076.05825667534,1,1,0.428166706156502,0.229620680238102,0.3054,"ORC_fine"
"79","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",35,963.089476735724,1,1,0.435246822749686,0.234810089702364,0.323,"ORC_fine"
"80","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",36,1123.52737184862,1,1,0.481653385255336,0.240345281421125,0.3071,"ORC_fine"
"81","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",37,1070.54821419175,1,1,0.438571544457527,0.228966164105174,0.2974,"ORC_fine"
