"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error"
"Beta_SSE","fine_clean_low_dim_simulations","K",1,"elastic_net",1,2.77213076028229,NA,1,0.0156625369203237,0.0498273270965132,0.2568,2.76586518376171,0.0156625369203237,0.0497818068811702,0.2562
"Beta_SSE1","fine_clean_low_dim_simulations","K",1,"group_lasso",1,2.77213076028229,NA,1,0.0156625369203237,0.0498273270965132,0.2568,2.76586518376171,0.0156625369203237,0.0497818068811702,0.2562
"Beta_SSE2","fine_clean_low_dim_simulations","K",1,"elastic_net",10,3.08412925955439,NA,1,0.016352963420528,0.0513745300240808,0.2572,3.07283322209836,0.0163444595247932,0.0513470471105569,0.257
"Beta_SSE11","fine_clean_low_dim_simulations","K",1,"group_lasso",10,3.08412925955439,NA,1,0.016352963420528,0.0513745300240808,0.2572,3.07283322209836,0.0163444595247932,0.0513470471105569,0.257
"Beta_SSE3","fine_clean_low_dim_simulations","K",1,"elastic_net",11,3.89810405700202,NA,1,0.0174772557805782,0.0522288906919377,0.2537,3.89810405700202,0.0174772557805782,0.0522288906919377,0.2537
"Beta_SSE12","fine_clean_low_dim_simulations","K",1,"group_lasso",11,3.89810405700202,NA,1,0.0174772557805782,0.0522288906919377,0.2537,3.89810405700202,0.0174772557805782,0.0522288906919377,0.2537
"Beta_SSE4","fine_clean_low_dim_simulations","K",1,"elastic_net",12,2.81178058411808,NA,1,0.0142750268365852,0.0482506903409747,0.2709,2.80557481208639,0.0142713567761283,0.0481789685288201,0.2702
"Beta_SSE13","fine_clean_low_dim_simulations","K",1,"group_lasso",12,2.81178058411808,NA,1,0.0142750268365852,0.0482506903409747,0.2709,2.80557481208639,0.0142713567761283,0.0481789685288201,0.2702
"Beta_SSE5","fine_clean_low_dim_simulations","K",1,"elastic_net",13,3.53024447638912,NA,1,0.0157588180459024,0.0494548503043394,0.253,3.35577742178631,0.0155982811899757,0.0490676147992383,0.2522
"Beta_SSE14","fine_clean_low_dim_simulations","K",1,"group_lasso",13,3.53024447638912,NA,1,0.0157588180459024,0.0494548503043394,0.253,3.35577742178631,0.0155982811899757,0.0490676147992383,0.2522
"Beta_SSE6","fine_clean_low_dim_simulations","K",1,"elastic_net",14,2.9714465230465,NA,1,0.0164056173191811,0.051784653553639,0.2685,2.97078338410176,0.0164047339020522,0.0517832143036991,0.268
"Beta_SSE15","fine_clean_low_dim_simulations","K",1,"group_lasso",14,2.9714465230465,NA,1,0.0164056173191811,0.051784653553639,0.2685,2.97078338410176,0.0164047339020522,0.0517832143036991,0.268
"Beta_SSE7","fine_clean_low_dim_simulations","K",1,"elastic_net",15,3.91615880088355,NA,1,0.0177253521011778,0.0519559761952816,0.2329,3.91615880088355,0.0177107176190454,0.0518991076781071,0.2322
"Beta_SSE16","fine_clean_low_dim_simulations","K",1,"group_lasso",15,3.91615880088355,NA,1,0.0177253521011778,0.0519559761952816,0.2329,3.91615880088355,0.0177107176190454,0.0518991076781071,0.2322
"Beta_SSE8","fine_clean_low_dim_simulations","K",1,"elastic_net",16,3.33536530969985,NA,1,0.0158741479952676,0.0504119083805878,0.2551,3.33233677449992,0.0158702744218107,0.0504119083805878,0.2548
"Beta_SSE17","fine_clean_low_dim_simulations","K",1,"group_lasso",16,3.33536530969985,NA,1,0.0158741479952676,0.0504119083805878,0.2551,3.33233677449992,0.0158702744218107,0.0504119083805878,0.2548
"Beta_SSE9","fine_clean_low_dim_simulations","K",1,"elastic_net",17,3.54503910761337,NA,1,0.0161462323871639,0.0506071717104295,0.2513,3.51739498899424,0.0161255785123066,0.050581971105467,0.2513
"Beta_SSE18","fine_clean_low_dim_simulations","K",1,"group_lasso",17,3.54503910761337,NA,1,0.0161462323871639,0.0506071717104295,0.2513,3.51739498899424,0.0161255785123066,0.050581971105467,0.2513
"Beta_SSE10","fine_clean_low_dim_simulations","K",1,"elastic_net",18,3.98301220443522,NA,1,0.0169888303543287,0.0505072309793603,0.243,3.91669603615303,0.0169797441868085,0.0504836922370855,0.2423
"Beta_SSE19","fine_clean_low_dim_simulations","K",1,"group_lasso",18,3.98301220443522,NA,1,0.0169888303543287,0.0505072309793603,0.243,3.91669603615303,0.0169797441868085,0.0504836922370855,0.2423
"Beta_SSE20","fine_clean_low_dim_simulations","K",1,"elastic_net",19,3.24241487497974,NA,1,0.01758571497209,0.0534999158989169,0.2717,3.15895593583976,0.0175186514343375,0.0533933025318297,0.2716
"Beta_SSE110","fine_clean_low_dim_simulations","K",1,"group_lasso",19,3.24241487497974,NA,1,0.01758571497209,0.0534999158989169,0.2717,3.15895593583976,0.0175186514343375,0.0533933025318297,0.2716
"Beta_SSE21","fine_clean_low_dim_simulations","K",1,"elastic_net",2,5.25738371233537,NA,1,0.0170593224506062,0.0500278803257854,0.2298,5.25738371233537,0.0170593224506062,0.0500278803257854,0.2296
"Beta_SSE111","fine_clean_low_dim_simulations","K",1,"group_lasso",2,5.25738371233537,NA,1,0.0170593224506062,0.0500278803257854,0.2298,5.25738371233537,0.0170593224506062,0.0500278803257854,0.2296
"Beta_SSE22","fine_clean_low_dim_simulations","K",1,"elastic_net",20,4.07449687105926,NA,1,0.0144459670466445,0.046117306991104,0.2373,3.78503095525494,0.0143036304378493,0.0457712475137252,0.2365
"Beta_SSE112","fine_clean_low_dim_simulations","K",1,"group_lasso",20,4.07449687105926,NA,1,0.0144459670466445,0.046117306991104,0.2373,3.78503095525494,0.0143036304378493,0.0457712475137252,0.2365
"Beta_SSE23","fine_clean_low_dim_simulations","K",1,"elastic_net",21,3.83500185067994,NA,1,0.0151135167594125,0.0478983719995449,0.2341,3.83500185067994,0.0151135167594125,0.0478983719995449,0.2336
"Beta_SSE113","fine_clean_low_dim_simulations","K",1,"group_lasso",21,3.83500185067994,NA,1,0.0151135167594125,0.0478983719995449,0.2341,3.83500185067994,0.0151135167594125,0.0478983719995449,0.2336
"Beta_SSE24","fine_clean_low_dim_simulations","K",1,"elastic_net",22,5.406762290904,NA,1,0.0168755363258438,0.0508010980807548,0.2445,4.47809108660127,0.016260150149019,0.0497266028585222,0.2441
"Beta_SSE114","fine_clean_low_dim_simulations","K",1,"group_lasso",22,5.406762290904,NA,1,0.0168755363258438,0.0508010980807548,0.2445,4.47809108660127,0.016260150149019,0.0497266028585222,0.2441
"Beta_SSE25","fine_clean_low_dim_simulations","K",1,"elastic_net",23,2.94399329110327,NA,1,0.0156402073596013,0.0499912592380633,0.2535,2.94399329110327,0.0156402073596013,0.0499912592380633,0.2534
"Beta_SSE115","fine_clean_low_dim_simulations","K",1,"group_lasso",23,2.94399329110327,NA,1,0.0156402073596013,0.0499912592380633,0.2535,2.94399329110327,0.0156402073596013,0.0499912592380633,0.2534
"Beta_SSE26","fine_clean_low_dim_simulations","K",1,"elastic_net",24,2.94023197828906,NA,1,0.0179762301034285,0.0544684181258473,0.2663,2.88212452784957,0.0179322823019239,0.0544522459579657,0.2659
"Beta_SSE116","fine_clean_low_dim_simulations","K",1,"group_lasso",24,2.94023197828906,NA,1,0.0179762301034285,0.0544684181258473,0.2663,2.88212452784957,0.0179322823019239,0.0544522459579657,0.2659
"Beta_SSE27","fine_clean_low_dim_simulations","K",1,"elastic_net",25,2.76986396674194,NA,1,0.0150405756831443,0.0488503043826593,0.2561,2.76936836919938,0.0150404255667413,0.0488497370776063,0.2542
"Beta_SSE117","fine_clean_low_dim_simulations","K",1,"group_lasso",25,2.76986396674194,NA,1,0.0150405756831443,0.0488503043826593,0.2561,2.76936836919938,0.0150404255667413,0.0488497370776063,0.2542
"Beta_SSE28","fine_clean_low_dim_simulations","K",1,"elastic_net",26,3.79485486431439,NA,1,0.0168150906489505,0.0508226544702653,0.2357,3.79485486431439,0.0168148780293935,0.0508223883805415,0.2347
"Beta_SSE118","fine_clean_low_dim_simulations","K",1,"group_lasso",26,3.79485486431439,NA,1,0.0168150906489505,0.0508226544702653,0.2357,3.79485486431439,0.0168148780293935,0.0508223883805415,0.2347
"Beta_SSE29","fine_clean_low_dim_simulations","K",1,"elastic_net",27,3.7378761949023,NA,1,0.0158995376278069,0.0485892478030924,0.2383,3.7372810816286,0.0158991518181057,0.0485883189648729,0.2377
"Beta_SSE119","fine_clean_low_dim_simulations","K",1,"group_lasso",27,3.7378761949023,NA,1,0.0158995376278069,0.0485892478030924,0.2383,3.7372810816286,0.0158991518181057,0.0485883189648729,0.2377
