"","x"
"3812","TTC12"
"3813","ZNF275"
"3814","CYP20A1"
"3815","RBM11"
"3816","PARG"
"3817","KIDINS220"
"3818","SOCS5"
"3819","PKIA"
"3820","SLC35E2B"
"3821","PATZ1"
"3822","CC2D1B"
"3823","PANX1"
"3824","CCR1"
"3825","ELMOD3"
"3826","CCDC122"
"3827","GUCD1"
"3828","FAM83D"
"3829","BAHD1"
"3830","FOXK1"
"3831","LAP3"
"3832","TRAK2"
"3833","RHOBTB2"
"3834","ZNF211"
"3835","TNKS2-AS1"
"3836","ZNF879"
"3837","SCGB3A1"
"3838","PID1"
"3839","IL12A"
"3840","MFSD6"
"3841","NAA35"
"3842","LOXL1"
"3843","GPX4"
"3844","DYRK1A"
"3845","GIPC3"
"3846","USP9Y"
"3847","TMEM25"
"3848","MBD3"
"3849","SGSM2"
"3850","FAS"
"3851","NRTN"
"3852","ARG2"
"3853","EGLN3"
"3854","C2orf42"
"3855","FAM177A1"
"3856","TMEM62"
"3857","FAM120B"
"3858","ZFYVE27"
"3859","FAM171A1"
"3860","AGAP6"
"3861","L3HYPDH"
"3862","NUMBL"
"3863","NPIPB5"
"3864","AQR"
"3865","SERPINB2"
"3866","TRDMT1"
"3867","CORO2B"
"3868","FLNB"
"3869","ZBED6CL"
"3870","TRUB1"
"3871","C12orf60"
"3872","FAM219B"
"3873","DHX36"
"3874","PAK3"
"3875","MTG1"
"3876","HBG2"
"3877","KLHL9"
"3878","VAMP8"
"3879","ZCCHC10"
"3880","DDI2"
"3881","DHRS13"
"3882","SETD1A"
"3883","OCLN"
"3884","FAM98A"
"3885","DNMT3A"
"3886","PGRMC2"
"3887","NFATC2IP"
"3888","GSDMA"
"3889","UBR2"
"3890","C9orf85"
"3891","CDAN1"
"3892","MAP3K6"
"3893","QPCT"
"3894","DNAI2"
"3895","RSRC1"
"3896","PGLS"
"3897","TLR2"
"3898","RASGEF1B"
"3899","IL7"
"3900","JOSD1"
"3901","LCMT2"
"3902","ZKSCAN2"
"3903","MYB"
"3904","FOCAD"
"3905","DUSP10"
"3906","GPS2"
"3907","ZDHHC17"
"3908","C19orf73"
"3909","MSRB1"
"3910","NUP210"
"3911","ZNF230"
"3912","LMO4"
"3913","RBL2"
"3914","NAGLU"
"3915","NECAP1"
"3916","SYNGR2"
"3917","EPPK1"
"3918","OTUD5"
"3919","HES1"
"3920","TTC3"
"3921","ATF2"
"3922","DLL1"
"3923","ZNF26"
"3924","PCNA"
"3925","SLC7A6"
"3926","RTN4R"
"3927","SDR42E1"
"3928","MDM1"
"3929","PSIP1"
"3930","ZHX3"
"3931","BRPF1"
"3932","CCNT2"
"3933","PTCD1"
"3934","ATP6V0E2-AS1"
"3935","MMAB"
"3936","ZBTB39"
"3937","POMT1"
"3938","HTRA2"
"3939","ELMOD2"
"3940","RNF214"
"3941","DTNBP1"
"3942","HMCES"
"3943","NTNG2"
"3944","MAK16"
"3945","CNOT4"
"3946","PPP1R37"
"3947","ABHD4"
"3948","ZNF490"
"3949","ARHGEF7"
"3950","PCGF6"
"3951","HCFC2"
"3952","EPHA1-AS1"
"3953","MBLAC2"
"3954","DNMT1"
"3955","SLC9B1"
"3956","WDR59"
"3957","CABIN1"
"3958","NPRL3"
"3959","BAZ1B"
"3960","RBM5"
"3961","ANKS1B"
"3962","LRFN1"
"3963","RORB"
"3964","ZNF180"
"3965","SYDE2"
"3966","PIGK"
"3967","TMEM86B"
"3968","ZNF646"
"3969","NRIP1"
"3970","LIN9"
"3971","FMR1"
"3972","MICALL1"
"3973","TMF1"
"3974","TBC1D10C"
"3975","MCC"
"3976","TCF3"
"3977","POFUT2"
"3978","CCL2"
"3979","ICA1L"
"3980","PLEKHA8"
"3981","CHST11"
"3982","ANKRD35"
"3983","VILL"
"3984","PRMT7"
"3985","PKN3"
"3986","MAGED2"
"3987","C10orf88"
"3988","IFT122"
"3989","JMJD6"
"3990","IGSF22"
"3991","GALNT2"
"3992","CAND2"
"3993","DHCR24"
"3994","SCRIB"
"3995","TRMT44"
"3996","PIKFYVE"
"3997","NISCH"
"3998","DHX30"
"3999","B3GALT4"
"4000","NHLRC2"
"4001","EMILIN2"
"4002","XIAP"
"4003","PICALM"
"4004","CNIH3"
"4005","B4GALT5"
"4006","ANKRD18A"
"4007","ADAMTS4"
"4008","SUPT3H"
"4009","TEX10"
"4010","UBR5"
"4011","THRB"
"4012","HAUS5"
"4013","UBXN11"
"4014","ARHGAP8"
"4015","ZNF558"
"4016","ZNF79"
"4017","ALG9"
"4018","MTUS1"
"4019","CEP41"
"4020","C1orf174"
"4021","HOTAIRM1"
"4022","EPC2"
"4023","UBAP2"
"4024","TRIM54"
"4025","RBAK"
"4026","SLMAP"
"4027","DDX55"
"4028","PHTF2"
"4029","PER1"
"4030","TSC2"
"4031","TAF2"
"4032","NUP205"
"4033","PHF10"
"4034","TTC37"
"4035","ZFAND4"
"4036","CLASP2"
"4037","CDR2"
"4038","ZNF77"
"4039","BMPR2"
"4040","TTLL7"
"4041","CYB5B"
"4042","MAP3K2"
"4043","LRFN3"
"4044","TSPAN3"
"4045","ZNF799"
"4046","ZRSR2"
"4047","BRAP"
"4048","TAOK2"
"4049","HEMK1"
"4050","EPS15L1"
"4051","C15orf40"
"4052","COL6A1"
"4053","BRD3"
"4054","GCC1"
"4055","USP8"
"4056","ZNF814"
"4057","SLC16A6"
"4058","ZNF773"
"4059","KLHL24"
"4060","RANBP2"
"4061","CLSPN"
"4062","CCDC142"
"4063","SHD"
"4064","TLK2"
"4065","RBBP6"
"4066","PBDC1"
"4067","MTOR"
"4068","AARS2"
"4069","MED12"
"4070","NDUFAF6"
"4071","IFT74"
"4072","NUBPL"
"4073","PJA1"
"4074","ZNF714"
"4075","AARD"
"4076","SEC14L1"
"4077","HYLS1"
"4078","USP13"
"4079","KLHL35"
"4080","TEFM"
"4081","KAT7"
"4082","ABHD2"
"4083","POPDC2"
"4084","ETNK2"
"4085","MKLN1"
"4086","HS6ST1"
"4087","FAM200B"
"4088","LYRM7"
"4089","ACYP1"
"4090","MVB12B"
"4091","PPP1R15B"
"4092","FRS2"
"4093","ETV3"
"4094","FBXO22"
"4095","CPNE7"
"4096","ATAD2B"
"4097","SLC25A16"
"4098","TACC1"
"4099","KLHL32"
"4100","GNS"
"4101","ZNF425"
"4102","PTCD3"
"4103","SPEN"
"4104","ABCD4"
"4105","INPP5B"
"4106","UBA6"
"4107","SLC29A2"
"4108","HIVEP1"
"4109","NEIL2"
"4110","ZNF500"
"4111","ALG6"
"4112","ZBED5"
"4113","C5orf24"
"4114","MFHAS1"
"4115","KCNAB3"
"4116","PRIM2"
"4117","ITGB2-AS1"
"4118","TWF1"
"4119","EXTL3"
"4120","ZSCAN12"
"4121","PTCH2"
"4122","MDM2"
"4123","GPATCH8"
"4124","CRADD"
"4125","CHD2"
"4126","CLIP4"
"4127","ZDHHC20"
"4128","DMGDH"
"4129","DENND3"
"4130","GTPBP10"
"4131","ENOX2"
"4132","TM4SF19"
"4133","CELSR1"
"4134","NOMO1"
"4135","UXS1"
"4136","FAIM"
"4137","ZNF287"
"4138","ZRANB3"
"4139","SLC45A4"
"4140","VPS13C"
"4141","AARSD1"
"4142","ANKRD37"
"4143","RERE"
"4144","RTN3"
"4145","TADA2B"
"4146","SFXN2"
"4147","ZNF700"
"4148","DICER1-AS1"
"4149","ZNF134"
"4150","LSMEM1"
"4151","ZNF660"
"4152","CCNB3"
"4153","ZNF35"
"4154","ACSL3"
"4155","C17orf80"
"4156","UBL4A"
"4157","LRRC37B"
"4158","BRWD1"
"4159","MBNL3"
"4160","ANKRD17"
"4161","ANKIB1"
"4162","RIOK1"
"4163","RDX"
"4164","ZKSCAN8"
"4165","ZNF614"
"4166","CENPO"
"4167","FGF22"
"4168","RNF149"
"4169","PPFIA3"
"4170","SLC25A32"
"4171","ZNF652"
"4172","STEAP1B"
"4173","FAM228B"
"4174","TBC1D15"
"4175","CUZD1"
"4176","SMPD4"
"4177","CCR8"
"4178","ANKMY2"
"4179","MDM4"
"4180","TDP1"
"4181","ABHD1"
"4182","FAR1"
"4183","ZSWIM5"
"4184","TGFBR2"
"4185","NDUFAF7"
"4186","FAM133B"
"4187","XRN1"
"4188","WDR27"
"4189","TSIX"
"4190","BAIAP2L2"
"4191","TSC22D2"
"4192","ZNF189"
"4193","USP34"
"4194","NFYA"
"4195","EIF4E3"
"4196","SKIV2L"
"4197","KANSL1"
"4198","PTX3"
"4199","CTDSPL2"
"4200","ST3GAL1"
"4201","OSGEPL1-AS1"
"4202","LYRM2"
"4203","ATP10D"
"4204","ADAT1"
"4205","PWWP2A"
"4206","SMG1"
"4207","ZNF326"
"4208","PAAF1"
"4209","ZNF546"
"4210","HLA-DQA2"
"4211","ELL2"
"4212","FAM122C"
"4213","PAN2"
"4214","ZNF644"
"4215","ZNF222"
"4216","IPO9"
"4217","JRKL"
"4218","STK35"
"4219","CACNA1C"
"4220","CENPP"
"4221","NEK7"
"4222","TJP3"
"4223","ASB7"
"4224","PPME1"
"4225","ANKMY1"
"4226","ST3GAL2"
"4227","WDR47"
"4228","NCK1"
"4229","NT5C"
"4230","SIAH2"
"4231","TMEM170B"
"4232","CTCF"
"4233","TPRG1L"
"4234","SMARCA2"
"4235","MUC12"
"4236","CEP104"
"4237","ZNF623"
"4238","MFSD9"
"4239","HMGXB3"
"4240","HUS1"
"4241","MDK"
"4242","FAM210A"
"4243","ERCC3"
"4244","MITD1"
"4245","IL27RA"
"4246","IGHMBP2"
"4247","MTMR2"
"4248","SREBF2"
"4249","LINC00565"
"4250","FBXL22"
"4251","GP5"
"4252","CHM"
"4253","WDR36"
"4254","KMT2D"
"4255","SLC18A2"
"4256","NRBP2"
"4257","DNAJC2"
"4258","TFPI"
"4259","ZIK1"
"4260","MIR210HG"
"4261","TRIM33"
"4262","PSMC3IP"
"4263","OSBP2"
"4264","LIN7B"
"4265","ARL17A"
"4266","ATP11C"
"4267","UBE3B"
"4268","LMBR1L"
"4269","C12orf66"
"4270","KIAA0825"
"4271","CTNNB1"
"4272","ZCCHC14"
"4273","SMARCA1"
"4274","P4HTM"
"4275","ING2"
"4276","GIPC1"
"4277","RLN1"
"4278","CR1"
"4279","HEXA-AS1"
"4280","TRAF2"
"4281","TRIM24"
"4282","ZNF195"
"4283","RFC4"
"4284","TASP1"
"4285","E4F1"
"4286","METTL25"
"4287","PPP2R1B"
"4288","KLC2"
"4289","DENND5B"
"4290","SH3BP5-AS1"
"4291","POLA1"
"4292","ZNF280C"
"4293","LOXL1-AS1"
"4294","ZNF594"
"4295","ZNF571-AS1"
"4296","PCMTD2"
"4297","YLPM1"
"4298","PSTK"
"4299","ADAM10"
"4300","RPAP1"
"4301","MYO9B"
"4302","ARHGAP9"
"4303","TNNT3"
"4304","PIGG"
"4305","COG6"
"4306","ZNF451"
"4307","FAM13B"
"4308","LTB4R"
"4309","LMLN"
"4310","SENP2"
"4311","SMC5"
"4312","BDH2"
"4313","CCDC71L"
"4314","HYKK"
"4315","TMEM182"
"4316","ACAD11"
"4317","DSC1"
"4318","MAP2"
"4319","TRAF3IP2-AS1"
"4320","RNF212"
"4321","TDRKH"
"4322","SYP"
"4323","TMEM184B"
"4324","FAM218A"
"4325","SEC24C"
"4326","ARL17B"
"4327","SYAP1"
"4328","VEGFA"
"4329","MBTPS1"
"4330","TBL1X"
"4331","DOCK11"
"4332","DXO"
"4333","CAD"
"4334","TP53TG3D"
"4335","ATP2C1"
"4336","CDCA8"
"4337","DDR2"
"4338","CDC7"
"4339","GTF2E1"
"4340","MTRF1"
"4341","GPR89A"
"4342","SNRNP200"
"4343","ZNF684"
"4344","PDE6B"
"4345","EP400"
"4346","CREBBP"
"4347","LIPT2"
"4348","ZNF736"
"4349","VRK1"
"4350","LY75"
"4351","ZNF185"
"4352","RAD17"
"4353","SLC16A4"
"4354","CSNK1G1"
"4355","SORCS3"
"4356","GIPR"
"4357","PHLDA2"
"4358","CLK2"
"4359","ATN1"
"4360","GSTK1"
"4361","RNF144B"
"4362","SCFD2"
"4363","SOS2"
"4364","TANGO6"
"4365","KISS1R"
"4366","C1orf159"
"4367","SLC35A3"
"4368","ZWILCH"
"4369","ARL6"
"4370","TNXB"
"4371","RAD51C"
"4372","MSTO1"
"4373","EIF4ENIF1"
"4374","MTO1"
"4375","ZNF746"
"4376","UFSP2"
"4377","SLC25A5"
"4378","EPS8L1"
"4379","BRD9"
"4380","METAP1D"
"4381","GRINA"
"4382","TECPR1"
"4383","OXT"
"4384","ANKRD13D"
"4385","FAM193A"
"4386","ARHGEF5"
"4387","SRRT"
"4388","CENPQ"
"4389","DNAJC18"
"4390","LPCAT4"
"4391","MCF2"
"4392","CRELD2"
"4393","CORO2A"
"4394","PSD3"
"4395","USP54"
"4396","GLS2"
"4397","DNAJA4"
"4398","SLC5A2"
"4399","TAF1A"
"4400","ANKRD27"
"4401","SLC25A6"
"4402","GPR25"
"4403","PLEKHF2"
"4404","ZC3H7B"
"4405","CBLL1"
"4406","LIMS2"
"4407","NLGN2"
"4408","VMAC"
"4409","TTLL3"
"4410","APOL2"
"4411","IP6K1"
"4412","FANCF"
"4413","DAXX"
"4414","PIGB"
"4415","HSD17B7"
"4416","MAP4K4"
"4417","SVIL"
"4418","BDNF-AS"
"4419","ZFP69B"
"4420","ZNF350"
"4421","BMI1"
"4422","LINC01001"
"4423","TESK1"
"4424","RRP12"
"4425","ACVR2B"
"4426","D2HGDH"
"4427","POLR1A"
"4428","DROSHA"
"4429","BOLA3"
"4430","ASAH2B"
"4431","FBXW8"
"4432","RNF6"
"4433","C3orf18"
"4434","IQSEC1"
"4435","CCNE2"
"4436","ADIPOR2"
"4437","ANKRD46"
"4438","WBP2NL"
"4439","FAM110C"
"4440","PHLPP2"
"4441","MORC3"
"4442","DDX6"
"4443","ACSS1"
"4444","ALG11"
"4445","CDK2"
"4446","EPS8L2"
"4447","DIP2B"
"4448","C12orf76"
"4449","KDM7A"
"4450","ATXN7L3B"
"4451","DIS3L"
"4452","EBP"
"4453","AP5M1"
"4454","ADCY7"
"4455","SGCB"
"4456","SSTR3"
"4457","GTPBP2"
"4458","FAM53C"
"4459","N4BP1"
"4460","PARD3"
"4461","DHX37"
"4462","RDH11"
"4463","ANAPC4"
"4464","FBLN7"
"4465","LRRC8B"
"4466","NFX1"
"4467","TMEM209"
"4468","EPAS1"
"4469","GPHN"
"4470","FMNL1"
"4471","FKTN"
"4472","ZNF658"
"4473","CAPNS1"
"4474","PCED1A"
"4475","MED14"
"4476","KMT2B"
"4477","AC104653.1"
"4478","ZMYM5"
"4479","SLC25A38"
"4480","PDZD2"
"4481","TMEM143"
"4482","TRPC1"
"4483","HERC4"
"4484","CACNA1I"
"4485","STRADA"
"4486","ADNP"
"4487","PHC1"
"4488","PSTPIP1"
"4489","UVRAG"
"4490","DMXL1"
"4491","DSCC1"
"4492","CHEK1"
"4493","ERC1"
"4494","HPS3"
"4495","ZNF541"
"4496","ERMN"
"4497","DYNLL2"
"4498","DDX3X"
"4499","RCOR3"
"4500","FBXW7"
"4501","SYTL4"
"4502","NR2C2"
"4503","BSDC1"
"4504","FBXW11"
"4505","POLE"
"4506","DDX31"
"4507","DNAJC9-AS1"
"4508","KCTD2"
"4509","POM121"
"4510","SNAI3"
"4511","MAP1B"
"4512","LMAN1"
"4513","PRDM15"
"4514","MARS2"
"4515","ZNF492"
"4516","ZNF74"
"4517","PRKCE"
"4518","DEGS2"
"4519","RGMB"
"4520","ZXDB"
"4521","MIA3"
"4522","LINC00852"
"4523","TIMM21"
"4524","ACACA"
"4525","MOAP1"
"4526","UBE2D1"
"4527","CBLN3"
"4528","FAM111A"
"4529","CKLF"
"4530","LRRC61"
"4531","BHLHE40-AS1"
"4532","ARID1B"
"4533","CARHSP1"
"4534","CSRNP2"
"4535","SLC10A3"
"4536","DHCR7"
"4537","TCEANC2"
"4538","IQCA1"
"4539","ZNF835"
"4540","TTC31"
"4541","PLGLB1"
"4542","PURB"
"4543","CDCA7"
"4544","CCDC91"
"4545","THUMPD1"
"4546","TMEM177"
"4547","BCOR"
"4548","CDH24"
"4549","NARF"
"4550","ABLIM2"
"4551","RNASEK"
"4552","CEACAM21"
"4553","TMEM41A"
"4554","NCAPH2"
"4555","PDIA4"
"4556","BLOC1S5"
"4557","PCGF3"
"4558","MTHFR"
"4559","MPP5"
"4560","SNAPC4"
"4561","SERPINE1"
"4562","PEX12"
"4563","EHMT1"
"4564","CCDC144A"
"4565","TNFSF11"
"4566","BLVRA"
"4567","KDM5D"
"4568","RALGAPA2"
"4569","FANCI"
"4570","SLC25A23"
"4571","DOK6"
"4572","HDHD3"
"4573","HBS1L"
"4574","ZKSCAN7"
"4575","SCML1"
"4576","KLHL20"
"4577","ZMIZ2"
"4578","TMEM123"
"4579","VAPB"
"4580","ZNF117"
"4581","GCFC2"
"4582","EZH2"
"4583","SLC12A6"
"4584","MCUR1"
"4585","LRP6"
"4586","CCNG2"
"4587","ATOX1"
"4588","VPS26B"
"4589","MT-ATP8"
"4590","FBXL4"
"4591","TRNT1"
"4592","PTPRR"
"4593","CNPY4"
"4594","TAF4B"
"4595","SYNJ2BP"
"4596","WDSUB1"
"4597","POLR2A"
"4598","ZCCHC4"
"4599","NOP2"
"4600","ZNF121"
"4601","TGFA"
"4602","ZNF71"
"4603","BMS1"
"4604","ZBTB24"
"4605","RPS21"
"4606","SNX18"
"4607","MCM3AP"
"4608","RNF216"
"4609","EXOC6"
"4610","PNPT1"
"4611","HAR1B"
"4612","IFT43"
"4613","PDPR"
"4614","TMEM99"
"4615","ESM1"
"4616","TIMD4"
"4617","DHRS7"
"4618","KIFC2"
"4619","MAP3K5"
"4620","BNIP3"
"4621","CYLD"
"4622","PTCD2"
"4623","NOL11"
"4624","TUBA1C"
"4625","CCDC117"
"4626","SRPK2"
"4627","ZNHIT2"
"4628","CAPS2"
"4629","PPP5D1"
"4630","CEP72"
"4631","LARP1B"
"4632","DLEC1"
"4633","ALDOC"
"4634","PDE12"
"4635","VAMP4"
"4636","DIAPH2"
"4637","KANK1"
"4638","TRIM35"
"4639","MOB3C"
"4640","EML6"
"4641","OCIAD2"
"4642","GPR180"
"4643","PRIMPOL"
"4644","ADAMTSL5"
"4645","LEPR"
"4646","ICA1"
"4647","HDAC9"
"4648","TDG"
"4649","IL23A"
"4650","TSPYL1"
"4651","VEZT"
"4652","BROX"
"4653","BSPRY"
"4654","SPIRE2"
"4655","PIK3C3"
"4656","CLIC5"
"4657","LMBRD2"
"4658","CENPH"
"4659","RBM26"
"4660","CBY1"
"4661","DOK4"
"4662","SASH3"
"4663","NKAP"
"4664","ZNF174"
"4665","NRCAM"
"4666","NKIRAS1"
"4667","TARBP1"
"4668","UBAC2-AS1"
"4669","PGM3"
"4670","ZCRB1"
"4671","AKAP13"
"4672","SLC20A2"
"4673","ALG10"
"4674","GEN1"
"4675","SLC35G2"
"4676","KDM4A-AS1"
"4677","ZNF267"
"4678","XK"
"4679","MIEF2"
"4680","ZNF33B"
"4681","PTK2B"
"4682","SART3"
"4683","ATG10"
"4684","CRYBA4"
"4685","ARSG"
"4686","NCOA2"
"4687","THNSL1"
"4688","LZTR1"
"4689","RSBN1"
"4690","L3MBTL1"
"4691","PLEKHB1"
"4692","RPL23A"
"4693","IFIT5"
"4694","ERCC4"
"4695","GPATCH2"
"4696","TIMM10B"
"4697","ZNF48"
"4698","LENG1"
"4699","ERAP2"
"4700","TATDN2"
"4701","DNAJC17"
"4702","TNK1"
"4703","NPM2"
"4704","NAP1L4"
"4705","TPP1"
"4706","MIER3"
"4707","ZNF446"
"4708","URB1"
"4709","NOTCH2"
"4710","H6PD"
"4711","PARP2"
"4712","KDM8"
"4713","TRADD"
"4714","NBAS"
"4715","TRMT10A"
"4716","MED13"
"4717","HPCAL4"
"4718","TUBB4A"
"4719","ZNF782"
"4720","TTLL5"
"4721","FKBP10"
"4722","PARP10"
"4723","SCIMP"
"4724","ATRIP"
"4725","ITGA10"
"4726","UBN1"
"4727","PLXND1"
"4728","SPTBN5"
"4729","NCF4"
"4730","ALKBH8"
"4731","PTAR1"
"4732","CUL2"
"4733","SLC39A13"
"4734","UBA7"
"4735","IWS1"
"4736","ENO1-AS1"
"4737","CDK8"
"4738","SNAI3-AS1"
"4739","NAA25"
"4740","DFFB"
"4741","PNKP"
"4742","MDFIC"
"4743","ITGA3"
"4744","BIRC6"
"4745","PARP11"
"4746","ZNF582"
"4747","ARMCX5"
"4748","HMG20A"
"4749","SNTB1"
"4750","MEF2D"
"4751","GLYCTK"
"4752","ZFP62"
"4753","ZNF800"
"4754","RNF38"
"4755","ZNF692"
"4756","DEPDC5"
"4757","SPECC1"
"4758","ZNF805"
"4759","TAOK1"
"4760","DNAJB2"
"4761","CDH20"
"4762","AGO2"
"4763","ENO3"
"4764","ZNF777"
"4765","CTSL"
"4766","SNTA1"
"4767","C6orf136"
"4768","LRRC7"
"4769","WIPF2"
"4770","IP6K2"
"4771","CPAMD8"
"4772","DNAJB14"
"4773","PPOX"
"4774","HMGA1P4"
"4775","CERK"
"4776","PRR14L"
"4777","CABP5"
"4778","RORC"
"4779","BOLA1"
"4780","RC3H2"
"4781","APPBP2"
"4782","RRAGB"
"4783","AEN"
"4784","RAD50"
"4785","CHRNB1"
"4786","ERBB3"
"4787","TBC1D23"
"4788","SEC14L2"
"4789","ATAD3C"
"4790","MRI1"
"4791","COL18A1"
"4792","ACOT2"
"4793","POLG"
"4794","GPC2"
"4795","KLHL17"
"4796","SUPT6H"
"4797","ZNF132"
"4798","PCYT1A"
"4799","C16orf54"
"4800","PRKAR2A"
"4801","TREML2"
"4802","ZNF613"
"4803","RPS8"
"4804","FCGR1A"
"4805","TMEM79"
"4806","TMEM254-AS1"
"4807","METTL17"
"4808","FERMT3"
"4809","RCL1"
"4810","AIDA"
"4811","GNGT2"
"4812","CAMKMT"
"4813","IQCB1"
"4814","IBA57"
"4815","BCL3"
"4816","DCBLD1"
"4817","GON4L"
"4818","CAND1"
"4819","PPP1R3B"
"4820","KRCC1"
"4821","TAF1C"
"4822","TOE1"
"4823","SPPL2A"
"4824","RNF34"
"4825","ELP6"
"4826","TFIP11"
"4827","SREK1"
"4828","WWC1"
"4829","TBX1"
"4830","GPR89B"
"4831","POMGNT1"
"4832","DNAJC28"
"4833","TEF"
"4834","ELK4"
"4835","CD86"
"4836","EXOC4"
"4837","KIF27"
"4838","TYW3"
"4839","PHF8"
"4840","STX17"
"4841","PDRG1"
"4842","SWT1"
"4843","MPZL3"
"4844","SNX9"
"4845","IKZF5"
"4846","PCDHGB6"
"4847","ATP6V0D1"
"4848","BRMS1L"
"4849","KRBA2"
"4850","HAVCR1"
"4851","KLHL25"
"4852","LINC00528"
"4853","BIRC5"
"4854","SNURF"
"4855","SERF1B"
"4856","PAQR3"
"4857","MLYCD"
"4858","SLC22A17"
"4859","RABL2B"
"4860","GJB6"
"4861","ITGAV"
"4862","DPEP2"
"4863","GCNT1"
"4864","REXO2"
"4865","PEX26"
"4866","DNAJC10"
"4867","PWP2"
"4868","USP9X"
"4869","POGLUT1"
"4870","DYNC1LI2"
"4871","ARMCX4"
"4872","MTMR3"
"4873","GRPEL2"
"4874","MOCS1"
"4875","WRNIP1"
"4876","CCDC107"
"4877","FANCG"
"4878","ARIH1"
"4879","ZNF317"
"4880","SH3TC2"
"4881","HMGN1"
"4882","ZNF416"
"4883","GTF2A1"
"4884","EVI2A"
"4885","ZNF354A"
"4886","ACTR5"
"4887","TYW1"
"4888","SFMBT2"
"4889","ZNF785"
"4890","RHCE"
"4891","PHKG1"
"4892","LIG3"
"4893","SLC17A5"
"4894","TXNL4B"
"4895","ZHX1"
"4896","LRTOMT"
"4897","MPST"
"4898","GAK"
"4899","SECISBP2"
"4900","IDNK"
"4901","MEOX1"
"4902","LIPE"
"4903","NBPF12"
"4904","ANKRD13C"
"4905","TMEM14A"
"4906","ERI1"
"4907","LRRC8C"
"4908","RNF11"
"4909","FN1"
"4910","ANKLE2"
"4911","RNF19B"
"4912","ANKRD29"
"4913","TMEM192"
"4914","FBXO38"
"4915","PKN2"
"4916","C9orf72"
"4917","PDCD7"
"4918","RAP2B"
"4919","JMJD1C"
"4920","FBXO8"
"4921","AMT"
"4922","BBS2"
"4923","CAP1"
"4924","DSC2"
"4925","UNC13D"
"4926","MSH6"
"4927","POLN"
"4928","MED15"
"4929","SAMD1"
"4930","HSD17B14"
"4931","MTPN"
"4932","TRIM46"
"4933","ARHGEF40"
"4934","MTMR1"
"4935","MORN4"
"4936","ZNF862"
"4937","STRN"
"4938","NCOA3"
"4939","C6orf99"
"4940","MT3"
"4941","HOOK3"
"4942","FBXO25"
"4943","TTF2"
"4944","GTF2H2"
"4945","GMEB2"
"4946","ARHGAP42"
"4947","EGR2"
"4948","UFL1"
"4949","PTPRN"
"4950","PLCD1"
"4951","ANKRD54"
"4952","CCDC69"
"4953","CYP2D6"
"4954","NIN"
"4955","ZC3H12B"
"4956","SPECC1L"
"4957","ARL14EP"
"4958","HERPUD2"
"4959","CACTIN"
"4960","BTAF1"
"4961","SRPK1"
"4962","SLC33A1"
"4963","WIPF1"
"4964","GALNT6"
"4965","IKBKB"
"4966","LATS1"
"4967","RDM1"
"4968","PTRH1"
"4969","TRIM65"
"4970","SDE2"
"4971","CLYBL"
"4972","ZNF554"
"4973","TRIM41"
"4974","ZNFX1"
"4975","CRY2"
"4976","NDUFAF5"
"4977","MFAP3"
"4978","ANP32E"
"4979","IRF2BPL"
"4980","TAF1B"
"4981","MOGS"
"4982","TTBK2"
"4983","DCAF4"
"4984","CMTM8"
"4985","ZNF577"
"4986","RBMS3"
"4987","FABP5"
"4988","PRSS53"
"4989","DCAF15"
"4990","AREL1"
"4991","RAP2C"
"4992","LIN37"
"4993","ENTPD5"
"4994","KPNA6"
"4995","TAF4"
"4996","PLXNB2"
"4997","DTX3L"
"4998","INTS4"
"4999","TRMT61B"
"5000","CTBP1"
"5001","MAGED1"
"5002","RIN3"
"5003","ADA"
"5004","PIGM"
"5005","AK3"
"5006","FASN"
"5007","ZNF514"
"5008","SBNO1"
"5009","CYP2F1"
"5010","NR2C2AP"
"5011","SUV39H1"
"5012","CAV2"
"5013","MPHOSPH8"
"5014","STAT2"
"5015","METTL3"
"5016","TBC1D13"
"5017","ZNF320"
"5018","ZNF575"
"5019","ZNF518B"
"5020","TEX9"
"5021","ANKFY1"
"5022","SARDH"
"5023","POLK"
"5024","AP4E1"
"5025","SUDS3"
"5026","GRAP"
"5027","SERTAD3"
"5028","TP53BP2"
"5029","PIK3CD"
"5030","ZSCAN25"
"5031","ZNF438"
"5032","ZNF561"
"5033","PPP5C"
"5034","RDH14"
"5035","TFRC"
"5036","CPT1A"
"5037","SLC9A9"
"5038","ATAD1"
"5039","MON1B"
"5040","ORC5"
"5041","THOC2"
"5042","CDADC1"
"5043","ZBTB20-AS1"
"5044","GTSF1"
"5045","GNPNAT1"
"5046","ZNF212"
"5047","HSPA1L"
"5048","XKRX"
"5049","SETDB2"
"5050","TGFB3"
"5051","TSSK6"
"5052","TOB2"
"5053","EXOC1"
"5054","ST8SIA4"
"5055","MCM4"
"5056","RFNG"
"5057","WDR26"
"5058","KIF1B"
"5059","SUSD3"
"5060","ZFYVE26"
"5061","AGO4"
"5062","CEP76"
"5063","MUTYH"
"5064","RNF103"
"5065","ZNF23"
"5066","GMNN"
"5067","GPBAR1"
"5068","NKTR"
"5069","MMAA"
"5070","SNRPN"
"5071","FBXL5"
"5072","ZFAS1"
"5073","BNIP3L"
"5074","KMT2C"
"5075","LMNB1"
"5076","SLC16A3"
"5077","SNAPC1"
"5078","PLEKHG4"
"5079","UPF2"
"5080","BCAP29"
"5081","SLFN12"
"5082","VPS8"
