"","x"
"332","MCL1"
"333","LILRB2"
"334","AFF3"
"335","MPEG1"
"336","STMN1"
"337","GK5"
"338","C1QA"
"339","BIRC3"
"340","CD72"
"341","PDE4D"
"342","NCF2"
"343","GADD45B"
"344","LCP1"
"345","ASAH1"
"346","RUNX3"
"347","ZAP70"
"348","CXCL2"
"349","CYP1B1"
"350","FOXP3"
"351","SPOCK2"
"352","SLAMF7"
"353","SLCO4C1"
"354","LYST"
"355","MYOM2"
"356","BLVRB"
"357","PDLIM1"
"358","C1orf162"
"359","KIF21A"
"360","PATL2"
"361","PLBD1"
"362","TNFRSF4"
"363","IER3"
"364","ADRB2"
"365","C12orf57"
"366","LCK"
"367","RNF130"
"368","AQP3"
"369","STAT4"
"370","BHLHE40"
"371","ABCB1"
"372","GNG11"
"373","ERBB2"
"374","LITAF"
"375","SPARC"
"376","AUTS2"
"377","TTN"
"378","SLC11A1"
"379","POU2F2"
"380","PHLDB2"
"381","ZFP36L1"
"382","IL1B"
"383","IL4R"
"384","USP28"
"385","CCDC50"
"386","GNAL"
"387","SH2D1A"
"388","ZNF600"
"389","FPR1"
"390","MAF"
"391","PLEKHG3"
"392","MYC"
"393","LY6E"
"394","TNFAIP2"
"395","MACROD2"
"396","PRKCH"
"397","GPR183"
"398","RNF165"
"399","NR4A2"
"400","STOM"
"401","GTF3C1"
"402","COBLL1"
"403","ABHD17A"
"404","NCALD"
"405","MTSS1"
"406","NRGN"
"407","GP9"
"408","PASK"
"409","LBH"
"410","YPEL1"
"411","BACH2"
"412","COLQ"
"413","PRR5L"
"414","ANXA5"
"415","RGS3"
"416","STK17A"
"417","CD1C"
"418","FCRL2"
"419","PMAIP1"
"420","RGCC"
"421","APOBEC3G"
"422","NFATC2"
"423","PCDH1"
"424","BOK"
"425","SLA2"
"426","SLFN13"
"427","KLRC3"
"428","SLC4A4"
"429","HSPA8"
"430","PPP1R14A"
"431","CD226"
"432","LLGL2"
"433","IKZF3"
"434","TFDP2"
"435","CACNA2D2"
"436","AKAP5"
"437","HCK"
"438","YES1"
"439","FUT11"
"440","CBLB"
"441","TNFSF13B"
"442","LIM2"
"443","SPTSSB"
"444","ADAMTS1"
"445","IL18R1"
"446","PIK3R1"
"447","NFKBIZ"
"448","CAPG"
"449","DAB2"
"450","SLFN12L"
"451","DNASE1L3"
"452","LINC00299"
"453","LY86"
"454","PPP1R15A"
"455","IGF2R"
"456","PTPN4"
"457","FKBP11"
"458","CDA"
"459","HSH2D"
"460","CXCR2"
"461","SWAP70"
"462","CXCR1"
"463","CHST2"
"464","IL2RG"
"465","AOAH"
"466","TTC16"
"467","CCL4L2"
"468","ST8SIA6"
"469","NPM1"
"470","CLSTN3"
"471","AGAP1"
"472","SPIB"
"473","CLEC12A"
"474","JAKMIP2"
"475","RAB37"
"476","TXNIP"
"477","PARP15"
