"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error"
"Beta_SSE","fine_simulations","batch_effect",0.025,"IBMR",1,839.393547557219,0.807058823529412,1,1.8627202972306,0.396624290889541,0.3495,378.199081137318,1.45072541116846,0.353489860837241,0.332
"Beta_SSE1","fine_simulations","batch_effect",0.025,"IBMR",10,896.835993942317,0.724705882352941,1,1.9378709557453,0.398377039012753,0.3295,398.204582339738,1.5161878456912,0.354226094740299,0.306
"Beta_SSE2","fine_simulations","batch_effect",0.025,"IBMR",11,856.312288899081,0.68,1,1.81240577476761,0.391626524960771,0.3345,376.449030894826,1.34874311297614,0.339875742479693,0.332
"Beta_SSE3","fine_simulations","batch_effect",0.025,"IBMR",12,847.696443921598,0.677647058823529,1,1.8286930653761,0.395582532270517,0.342,381.79503615926,1.42725816462241,0.352978385524407,0.3135
"Beta_SSE4","fine_simulations","batch_effect",0.025,"IBMR",13,937.70571776066,0.736470588235294,1,2.0333592374067,0.409589847441738,0.355,399.20060088785,1.58540875707392,0.367100556681607,0.344
"Beta_SSE5","fine_simulations","batch_effect",0.025,"IBMR",14,929.009469666329,0.689411764705882,1,1.99309344276185,0.403445283880762,0.3435,427.208239339413,1.50780006712437,0.356735287275494,0.3235
"Beta_SSE6","fine_simulations","batch_effect",0.025,"IBMR",15,833.531325025579,0.724705882352941,1,1.74000511480043,0.392853073449858,0.3495,363.279411539799,1.36519541325455,0.352013651556576,0.3215
"Beta_SSE7","fine_simulations","batch_effect",0.025,"IBMR",16,854.723704902512,0.663529411764706,1,1.85722297076139,0.394943347588256,0.3195,370.702716246384,1.44925309549761,0.351081768817071,0.3095
"Beta_SSE8","fine_simulations","batch_effect",0.025,"IBMR",17,889.314250809713,0.710588235294118,1,1.81903416838051,0.387997835901473,0.3475,393.952232190563,1.44170737535286,0.348172616664304,0.326
"Beta_SSE9","fine_simulations","batch_effect",0.025,"IBMR",18,880.495263044676,0.689411764705882,1,1.85236880006667,0.39492861517748,0.3455,380.256544704768,1.39936487121126,0.348951303000749,0.334
"Beta_SSE10","fine_simulations","batch_effect",0.025,"IBMR",19,865.206345291255,0.715294117647059,1,1.82074850172602,0.393856760360024,0.3375,398.322049652953,1.4731205798173,0.354918117057884,0.3255
"Beta_SSE11","fine_simulations","batch_effect",0.025,"IBMR",2,952.170054793869,0.677647058823529,1,1.98842833973045,0.40848309968258,0.3465,403.452795822789,1.54780575060128,0.366058934896726,0.3205
"Beta_SSE12","fine_simulations","batch_effect",0.025,"IBMR",20,953.745915577176,0.642352941176471,1,2.11214897481271,0.414940974620716,0.325,406.638326835369,1.49753463999783,0.357834547235943,0.309
"Beta_SSE13","fine_simulations","batch_effect",0.025,"IBMR",21,825.87695609914,0.750588235294118,1,1.79768282111743,0.395069122092628,0.3405,351.915978467071,1.41098823520224,0.351028014877867,0.31
"Beta_SSE14","fine_simulations","batch_effect",0.025,"IBMR",22,829.669558343453,0.717647058823529,1,1.86602338489284,0.403894718283646,0.357,365.454895490572,1.50803407373437,0.366607704677457,0.3405
"Beta_SSE15","fine_simulations","batch_effect",0.025,"IBMR",23,870.577369523528,0.727058823529412,1,1.937235378762,0.410710859271104,0.373,373.450175278849,1.54677099746225,0.373933164899653,0.33
"Beta_SSE16","fine_simulations","batch_effect",0.025,"IBMR",24,848.854292908913,0.712941176470588,1,1.8485428403341,0.402559879411952,0.343,362.081918160937,1.39335864148129,0.352763358250224,0.321
"Beta_SSE17","fine_simulations","batch_effect",0.025,"IBMR",25,884.310499561267,0.68,1,1.85211664412072,0.395294510926846,0.3455,373.615277086586,1.41397569050783,0.348419295369715,0.3135
"Beta_SSE18","fine_simulations","batch_effect",0.025,"IBMR",26,928.780242814672,0.72,1,2.08338501791865,0.417278648112868,0.349,397.441760316258,1.53791658440427,0.364041225988565,0.3405
"Beta_SSE19","fine_simulations","batch_effect",0.025,"IBMR",27,889.500432426912,0.618823529411765,1,1.88603935017898,0.398000111894373,0.344,408.757905247462,1.48180238800018,0.354898743107919,0.327
"Beta_SSE20","fine_simulations","batch_effect",0.025,"IBMR",28,826.752575249363,0.668235294117647,1,1.88070196354126,0.401751344299062,0.346,356.46055125841,1.44748162545069,0.353752718413307,0.331
"Beta_SSE21","fine_simulations","batch_effect",0.025,"IBMR",29,950.615641645018,0.581176470588235,1,1.95275542248042,0.397868315441915,0.337,409.28123274509,1.47346753674323,0.348315804998589,0.3085
"Beta_SSE22","fine_simulations","batch_effect",0.025,"IBMR",3,849.897824937624,0.684705882352941,1,1.87198909653324,0.397842537663286,0.357,382.471000325654,1.45843188589806,0.356958560107797,0.3435
"Beta_SSE23","fine_simulations","batch_effect",0.025,"IBMR",30,879.054565390837,0.757647058823529,1,1.89849542931663,0.399173658160924,0.325,394.422058548956,1.52060070833659,0.360884330421445,0.3095
"Beta_SSE24","fine_simulations","batch_effect",0.025,"IBMR",31,918.481388584596,0.788235294117647,1,2.0233972761757,0.407019956561409,0.349,431.759055694714,1.54970040843512,0.362851895095756,0.332
"Beta_SSE25","fine_simulations","batch_effect",0.025,"IBMR",32,833.2690648127,0.736470588235294,1,1.79777219600434,0.394693155810413,0.3295,363.096797819345,1.39732242085215,0.349095019561911,0.3135
"Beta_SSE26","fine_simulations","batch_effect",0.025,"IBMR",33,818.996964433948,0.736470588235294,1,1.75917735778692,0.394949360578232,0.3385,351.858212691558,1.36932713672637,0.353392862207624,0.3125
"Beta_SSE27","fine_simulations","batch_effect",0.025,"IBMR",34,839.356574702335,0.743529411764706,1,1.91317368728605,0.40346689108148,0.336,373.444401356838,1.50781335367637,0.360109913257689,0.3115
"Beta_SSE28","fine_simulations","batch_effect",0.025,"IBMR",35,817.122593107079,0.804705882352941,1,1.82192117287547,0.392875609319824,0.3255,368.104879214112,1.45615657950624,0.352373998926093,0.302
