"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error"
"Beta_SSE127","fine_clean_simulations","nonzero",100,"group_lasso",34,1319.74622127316,0.805,1,3.27288903276504,0.48204883997743,0.3885,710.142065392194,2.44698631112978,0.432756667092843,0.3775
"Beta_SSE38","fine_clean_simulations","nonzero",100,"elastic_net",35,1434.67498044779,0.775,1,3.47378687775638,0.483729240423142,0.389,807.416680462038,2.60744772189502,0.437023129814062,0.384
"Beta_SSE128","fine_clean_simulations","nonzero",100,"group_lasso",35,1434.67498044779,0.775,1,3.47378687775638,0.483729240423142,0.389,807.416680462038,2.60744772189502,0.437023129814062,0.384
"Beta_SSE39","fine_clean_simulations","nonzero",100,"elastic_net",36,1352.951496962,0.775,1,3.04497580309245,0.465420594876078,0.383,747.819866017362,2.30355353428957,0.420793786392124,0.38
"Beta_SSE129","fine_clean_simulations","nonzero",100,"group_lasso",36,1352.951496962,0.775,1,3.04497580309245,0.465420594876078,0.383,747.819866017362,2.30355353428957,0.420793786392124,0.38
"Beta_SSE40","fine_clean_simulations","nonzero",100,"elastic_net",37,1353.01457897686,0.8625,1,2.95947361090194,0.452524395389075,0.374,790.385439348641,2.38238511065726,0.410221828588267,0.3515
"Beta_SSE130","fine_clean_simulations","nonzero",100,"group_lasso",37,1353.01457897686,0.8625,1,2.95947361090194,0.452524395389075,0.374,790.385439348641,2.38238511065726,0.410221828588267,0.3515
"Beta_SSE41","fine_clean_simulations","nonzero",100,"elastic_net",38,1268.91719425641,0.89,1,2.85149839553833,0.448600685903085,0.369,711.307635197276,2.40835976868151,0.418256488871616,0.347
"Beta_SSE131","fine_clean_simulations","nonzero",100,"group_lasso",38,1268.91719425641,0.89,1,2.85149839553833,0.448600685903085,0.369,711.307635197276,2.40835976868151,0.418256488871616,0.347
"Beta_SSE42","fine_clean_simulations","nonzero",100,"elastic_net",39,1378.28774360198,0.83,1,2.9069573985848,0.449440858995489,0.3745,829.820901563851,2.35851462552894,0.412215718970931,0.3585
"Beta_SSE132","fine_clean_simulations","nonzero",100,"group_lasso",39,1378.28774360198,0.83,1,2.9069573985848,0.449440858995489,0.3745,829.820901563851,2.35851462552894,0.412215718970931,0.3585
"Beta_SSE43","fine_clean_simulations","nonzero",100,"elastic_net",4,1279.15495068855,0.8675,1,2.74116646208921,0.44545794542758,0.377,720.736953309145,2.29246727363239,0.411941440093729,0.368
"Beta_SSE133","fine_clean_simulations","nonzero",100,"group_lasso",4,1279.15495068855,0.8675,1,2.74116646208921,0.44545794542758,0.377,720.736953309145,2.29246727363239,0.411941440093729,0.368
"Beta_SSE44","fine_clean_simulations","nonzero",100,"elastic_net",40,1324.30409909358,0.87,1,2.96107371994656,0.454554885707383,0.3565,756.211166919843,2.40237989991663,0.418227273940231,0.3435
"Beta_SSE134","fine_clean_simulations","nonzero",100,"group_lasso",40,1324.30409909358,0.87,1,2.96107371994656,0.454554885707383,0.3565,756.211166919843,2.40237989991663,0.418227273940231,0.3435
"Beta_SSE45","fine_clean_simulations","nonzero",100,"elastic_net",41,1302.61172027723,0.8625,1,2.83931161117016,0.454938840022376,0.3635,746.010054144258,2.35399580752747,0.422160309521083,0.3435
"Beta_SSE135","fine_clean_simulations","nonzero",100,"group_lasso",41,1302.61172027723,0.8625,1,2.83931161117016,0.454938840022376,0.3635,746.010054144258,2.35399580752747,0.422160309521083,0.3435
"Beta_SSE46","fine_clean_simulations","nonzero",100,"elastic_net",42,1318.58726258585,0.85,1,2.93648534354484,0.460761999388063,0.4035,748.544055582393,2.55228230343078,0.437614352749019,0.386
"Beta_SSE136","fine_clean_simulations","nonzero",100,"group_lasso",42,1318.58726258585,0.85,1,2.93648534354484,0.460761999388063,0.4035,748.544055582393,2.55228230343078,0.437614352749019,0.386
"Beta_SSE47","fine_clean_simulations","nonzero",100,"elastic_net",43,1376.55210222582,0.855,1,2.83174854894722,0.444702690509731,0.353,792.531833971899,2.36246858792614,0.41197079636765,0.337
"Beta_SSE137","fine_clean_simulations","nonzero",100,"group_lasso",43,1376.55210222582,0.855,1,2.83174854894722,0.444702690509731,0.353,792.531833971899,2.36246858792614,0.41197079636765,0.337
"Beta_SSE48","fine_clean_simulations","nonzero",100,"elastic_net",44,1311.04862830847,0.845,1,2.94645162863779,0.459887829213033,0.3805,722.088704042713,2.48919087858519,0.431644772693126,0.3545
"Beta_SSE138","fine_clean_simulations","nonzero",100,"group_lasso",44,1311.04862830847,0.845,1,2.94645162863779,0.459887829213033,0.3805,722.088704042713,2.48919087858519,0.431644772693126,0.3545
"Beta_SSE49","fine_clean_simulations","nonzero",100,"elastic_net",45,1345.42113870172,0.88,1,2.96765501496709,0.454462785858516,0.3955,786.917369748967,2.51534914312259,0.420987893204403,0.3825
"Beta_SSE139","fine_clean_simulations","nonzero",100,"group_lasso",45,1345.42113870172,0.88,1,2.96765501496709,0.454462785858516,0.3955,786.917369748967,2.51534914312259,0.420987893204403,0.3825
"Beta_SSE50","fine_clean_simulations","nonzero",100,"elastic_net",46,1357.14640144695,0.8825,1,2.91845643260585,0.457378471063643,0.4045,796.493124759144,2.44451002592421,0.428828976741542,0.37
"Beta_SSE140","fine_clean_simulations","nonzero",100,"group_lasso",46,1357.14640144695,0.8825,1,2.91845643260585,0.457378471063643,0.4045,796.493124759144,2.44451002592421,0.428828976741542,0.37
"Beta_SSE51","fine_clean_simulations","nonzero",100,"elastic_net",47,1317.87391117673,0.8775,1,3.00054748903561,0.456148497332409,0.377,753.756823379029,2.46545721298503,0.418741398652496,0.36
"Beta_SSE141","fine_clean_simulations","nonzero",100,"group_lasso",47,1317.87391117673,0.8775,1,3.00054748903561,0.456148497332409,0.377,753.756823379029,2.46545721298503,0.418741398652496,0.36
"Beta_SSE52","fine_clean_simulations","nonzero",100,"elastic_net",48,1370.44458085477,0.775,1,3.3159652134779,0.479001389402795,0.3955,753.688556687281,2.54375867950926,0.430288802549216,0.377
"Beta_SSE142","fine_clean_simulations","nonzero",100,"group_lasso",48,1370.44458085477,0.775,1,3.3159652134779,0.479001389402795,0.3955,753.688556687281,2.54375867950926,0.430288802549216,0.377
"Beta_SSE53","fine_clean_simulations","nonzero",100,"elastic_net",49,1370.47385290077,0.84,1,2.96550784634034,0.455414891357948,0.363,814.054592461718,2.45667964788862,0.421645562597801,0.3455
"Beta_SSE143","fine_clean_simulations","nonzero",100,"group_lasso",49,1370.47385290077,0.84,1,2.96550784634034,0.455414891357948,0.363,814.054592461718,2.45667964788862,0.421645562597801,0.3455
"Beta_SSE54","fine_clean_simulations","nonzero",100,"elastic_net",5,1344.16170069886,0.8275,1,2.88709368078859,0.45204536076979,0.3645,803.054564063687,2.50310222529493,0.426984653666131,0.355
"Beta_SSE144","fine_clean_simulations","nonzero",100,"group_lasso",5,1344.16170069886,0.8275,1,2.88709368078859,0.45204536076979,0.3645,803.054564063687,2.50310222529493,0.426984653666131,0.355
"Beta_SSE55","fine_clean_simulations","nonzero",100,"elastic_net",50,1349.95191871001,0.845,1,3.02555281003866,0.454406221041381,0.372,788.830851700935,2.57458859630232,0.421824615850842,0.3495
"Beta_SSE145","fine_clean_simulations","nonzero",100,"group_lasso",50,1349.95191871001,0.845,1,3.02555281003866,0.454406221041381,0.372,788.830851700935,2.57458859630232,0.421824615850842,0.3495
"Beta_SSE56","fine_clean_simulations","nonzero",100,"elastic_net",6,1293.90488880988,0.8475,1,2.93520908963454,0.458744128974368,0.373,743.617708067317,2.4650988035929,0.424745535877183,0.3545
"Beta_SSE146","fine_clean_simulations","nonzero",100,"group_lasso",6,1293.90488880988,0.8475,1,2.93520908963454,0.458744128974368,0.373,743.617708067317,2.4650988035929,0.424745535877183,0.3545
"Beta_SSE57","fine_clean_simulations","nonzero",100,"elastic_net",7,1315.3918282113,0.85,1,2.9444884038382,0.462004393095015,0.385,757.925545343871,2.51664830545567,0.435363027831408,0.365
"Beta_SSE147","fine_clean_simulations","nonzero",100,"group_lasso",7,1315.3918282113,0.85,1,2.9444884038382,0.462004393095015,0.385,757.925545343871,2.51664830545567,0.435363027831408,0.365
"Beta_SSE58","fine_clean_simulations","nonzero",100,"elastic_net",8,1362.87265018017,0.8625,1,2.90837418863811,0.4562662608491,0.3955,786.524745797183,2.37109958342068,0.423549282382102,0.3815
"Beta_SSE148","fine_clean_simulations","nonzero",100,"group_lasso",8,1362.87265018017,0.8625,1,2.90837418863811,0.4562662608491,0.3955,786.524745797183,2.37109958342068,0.423549282382102,0.3815
"Beta_SSE59","fine_clean_simulations","nonzero",100,"elastic_net",9,1283.01886230563,0.875,1,2.81795365838813,0.456086069793469,0.378,718.78068193887,2.24471353692066,0.417009071855198,0.371
"Beta_SSE149","fine_clean_simulations","nonzero",100,"group_lasso",9,1283.01886230563,0.875,1,2.81795365838813,0.456086069793469,0.378,718.78068193887,2.24471353692066,0.417009071855198,0.371
"Beta_SSE60","fine_clean_simulations","nonzero",100,"IBMR",1,1309.1740597453,0.8325,1,2.76885020599391,0.446338662993378,0.392,775.394846468526,2.20670728072282,0.406704009599421,0.363
"Beta_SSE61","fine_clean_simulations","nonzero",100,"IBMR",10,1299.2808621103,0.755,1,2.70734852295202,0.444546654495009,0.3835,738.639651693882,2.18133807922977,0.407861439163613,0.363
"Beta_SSE62","fine_clean_simulations","nonzero",100,"IBMR",11,1303.81485628491,0.81,1,2.73101027698582,0.441199381316965,0.3755,753.725280940609,2.17613915395559,0.402567099943392,0.35
"Beta_SSE63","fine_clean_simulations","nonzero",100,"IBMR",12,1311.43248981681,0.7025,1,3.02393821355587,0.458631454939198,0.363,700.524850627351,2.21737339168619,0.402637032450399,0.357
"Beta_SSE64","fine_clean_simulations","nonzero",100,"IBMR",13,1334.76540812451,0.7725,1,2.5971883800347,0.43635958581283,0.374,766.181083048825,2.08693345773706,0.399576752397015,0.352
"Beta_SSE65","fine_clean_simulations","nonzero",100,"IBMR",14,1411.79344943232,0.775,1,2.98894860002794,0.461625784198583,0.3865,782.40104479557,2.22403822809386,0.410080003925718,0.375
"Beta_SSE66","fine_clean_simulations","nonzero",100,"IBMR",15,1381.46736744565,0.725,1,3.1784964407361,0.467498518801569,0.371,761.081268525457,2.41491870085533,0.419166740063305,0.353
"Beta_SSE67","fine_clean_simulations","nonzero",100,"IBMR",16,1284.34640894585,0.6975,1,2.56467325350367,0.434241196236934,0.369,711.622017228632,2.00655976334116,0.393115599693731,0.3475
"Beta_SSE68","fine_clean_simulations","nonzero",100,"IBMR",17,1350.2919272871,0.7025,1,2.96864454410605,0.461439477484158,0.373,718.751426055531,2.22483668006253,0.414192450777254,0.364
"Beta_SSE69","fine_clean_simulations","nonzero",100,"IBMR",18,1300.00726549482,0.765,1,2.55387550428657,0.42941623615778,0.371,732.554163622106,2.062867975586,0.390229505625076,0.353
"Beta_SSE70","fine_clean_simulations","nonzero",100,"IBMR",19,1282.62865961679,0.74,1,2.70950005807967,0.438514465593678,0.3725,737.717886905407,2.19062791421707,0.402454344565639,0.349
"Beta_SSE71","fine_clean_simulations","nonzero",100,"IBMR",2,1356.67753231139,0.7425,1,2.79202857954611,0.444530168933963,0.3755,760.474452611116,2.24395402563212,0.404676474277622,0.351
"Beta_SSE72","fine_clean_simulations","nonzero",100,"IBMR",20,1322.43442025616,0.7725,1,2.64445580405982,0.439912887452523,0.3955,742.387156501537,2.15181238352117,0.405226528677919,0.375
"Beta_SSE73","fine_clean_simulations","nonzero",100,"IBMR",21,1240.55983392935,0.7325,1,2.60737404232263,0.441129962075569,0.391,713.450780396087,2.11186578297526,0.404565159857176,0.3765
"Beta_SSE74","fine_clean_simulations","nonzero",100,"IBMR",22,1307.28868131568,0.75,1,2.94264688123784,0.458797749858154,0.38,710.605171354867,2.25989127906956,0.414572875542792,0.3585
"Beta_SSE75","fine_clean_simulations","nonzero",100,"IBMR",23,1344.61329963829,0.78,1,2.95273361659162,0.46171334251072,0.3785,717.566504736943,2.2110316257576,0.410894943642485,0.3615
"Beta_SSE76","fine_clean_simulations","nonzero",100,"IBMR",24,1286.50885100087,0.75,1,2.63382819092435,0.439637286743388,0.368,736.893361049491,2.11471854901133,0.401748627967271,0.3595
"Beta_SSE77","fine_clean_simulations","nonzero",100,"IBMR",25,1359.77445442167,0.7175,1,3.01985156449622,0.461797127926433,0.369,702.596216548129,2.23846874879316,0.406947049282055,0.3595
"Beta_SSE78","fine_clean_simulations","nonzero",100,"IBMR",26,1330.62885691,0.79,1,2.67633399915952,0.443757257493524,0.386,746.11032396936,2.16089302137268,0.406556360534652,0.375
"Beta_SSE79","fine_clean_simulations","nonzero",100,"IBMR",27,1318.86586608781,0.74,1,2.64733832447919,0.434921776321455,0.361,723.487788341204,2.06811990040754,0.393336994954665,0.3435
"Beta_SSE80","fine_clean_simulations","nonzero",100,"IBMR",28,1258.23878047338,0.7775,1,2.71236579389616,0.448504522886652,0.375,704.107724264987,2.1843797217452,0.410251698421055,0.3595
"Beta_SSE81","fine_clean_simulations","nonzero",100,"IBMR",29,1500.36096735844,0.7675,1,3.21203607492898,0.468149938564539,0.376,834.083941790477,2.36839834296395,0.416184021268432,0.3685
"Beta_SSE82","fine_clean_simulations","nonzero",100,"IBMR",3,1274.86162170809,0.755,1,2.79093097544562,0.443980757519455,0.3705,738.181851040539,2.25903890528283,0.408118392022613,0.3465
"Beta_SSE83","fine_clean_simulations","nonzero",100,"IBMR",30,1333.57981228897,0.7425,1,2.62850655573279,0.431117249886454,0.349,748.495461357602,2.08476457370093,0.388662340483562,0.3315
"Beta_SSE84","fine_clean_simulations","nonzero",100,"IBMR",31,1292.40423934483,0.8275,1,2.68069836883307,0.441758938658733,0.39,720.144532571266,2.15116725458273,0.404028706645798,0.3745
"Beta_SSE85","fine_clean_simulations","nonzero",100,"IBMR",32,1229.8389868386,0.7525,1,2.43745290335095,0.422781016665476,0.34,701.805260432807,1.94077007632114,0.384136283693836,0.331
"Beta_SSE86","fine_clean_simulations","nonzero",100,"IBMR",33,1241.73411175855,0.705,1,2.56653196643017,0.434785638464155,0.375,685.43747217771,2.08038323855995,0.3973618801146,0.3565
"Beta_SSE87","fine_clean_simulations","nonzero",100,"IBMR",34,1295.4423838145,0.7325,1,3.09048049010587,0.471726377594347,0.382,686.237478962797,2.25460699755244,0.419508054645107,0.375
"Beta_SSE88","fine_clean_simulations","nonzero",100,"IBMR",35,1392.80324103088,0.7425,1,3.15144795087934,0.46685070208864,0.3895,771.026865779997,2.32913507803297,0.415873362176418,0.379
"Beta_SSE89","fine_clean_simulations","nonzero",100,"IBMR",36,1330.3941067002,0.74,1,2.88055321019436,0.456283663978906,0.382,710.845058729275,2.03072867874921,0.398871591250057,0.372
"Beta_SSE90","fine_clean_simulations","nonzero",100,"IBMR",37,1372.22499867793,0.7725,1,2.98444503513371,0.454315753943319,0.3655,742.353483668551,2.17255706248642,0.397081350578854,0.3455
"Beta_SSE91","fine_clean_simulations","nonzero",100,"IBMR",39,1361.20445527457,0.695,1,2.76370059732067,0.440174867221961,0.365,790.66783210829,2.18362717207858,0.399222888708623,0.3495
"Beta_SSE92","fine_clean_simulations","nonzero",100,"IBMR",4,1273.01288488593,0.7375,1,2.64664479749518,0.439682661869363,0.3715,691.916568361885,2.09512374724418,0.399099538368461,0.36
"Beta_SSE93","fine_clean_simulations","nonzero",100,"IBMR",40,1296.57352139467,0.7575,1,2.74372382292264,0.440474073842903,0.3545,727.807851995075,2.18915374590331,0.400004208878645,0.336
"Beta_SSE94","fine_clean_simulations","nonzero",100,"IBMR",41,1299.74430229007,0.6925,1,2.73709433695011,0.447268025526087,0.3495,706.642297895069,2.10195690840749,0.40137960190315,0.3385
"Beta_SSE95","fine_clean_simulations","nonzero",100,"IBMR",42,1290.03191291107,0.7225,1,2.68987381087023,0.446633876083769,0.395,714.900426173012,2.1712866620416,0.410611916139104,0.382
"Beta_SSE96","fine_clean_simulations","nonzero",100,"IBMR",43,1357.240230578,0.6375,1,2.65647843509168,0.433042597509298,0.34,745.789057967469,2.01805772698286,0.384893262882379,0.3275
"Beta_SSE97","fine_clean_simulations","nonzero",100,"IBMR",44,1337.04580438048,0.655,1,2.99864380423614,0.46307735948328,0.37,695.744166781031,2.18938184218577,0.409827951408248,0.354
"Beta_SSE98","fine_clean_simulations","nonzero",100,"IBMR",45,1317.23614236041,0.81,1,2.77811165755554,0.443207007885888,0.3925,748.358981409567,2.28257828453103,0.406459469811534,0.381
"Beta_SSE99","fine_clean_simulations","nonzero",100,"IBMR",47,1270.02319582235,0.7725,1,2.71095398481605,0.439497829838458,0.373,715.162842593272,2.18768754276524,0.399996784865286,0.358
"Beta_SSE100","fine_clean_simulations","nonzero",100,"IBMR",49,1343.65416672884,0.755,1,2.77599665658804,0.443490530638663,0.355,758.875043509083,2.13639538573765,0.396680090011213,0.344
"Beta_SSE101","fine_clean_simulations","nonzero",100,"IBMR",5,1320.34569560474,0.735,1,2.71442916244921,0.441154381116082,0.3635,743.341484487,2.16145963182497,0.401803534109693,0.352
"Beta_SSE102","fine_clean_simulations","nonzero",100,"IBMR",50,1308.12405999394,0.785,1,2.77133559701945,0.440280648427394,0.3655,734.631617845739,2.26955981748057,0.402333653762841,0.347
"Beta_SSE103","fine_clean_simulations","nonzero",100,"IBMR",6,1293.84067177232,0.7325,1,2.86189531641726,0.454236160129582,0.3785,710.177153795192,2.25900532989057,0.411059727226708,0.345
"Beta_SSE104","fine_clean_simulations","nonzero",100,"IBMR",7,1277.40143738312,0.7425,1,2.70472508850651,0.446852284311517,0.377,722.943363292519,2.21424507827679,0.411613464720536,0.3625
"Beta_SSE105","fine_clean_simulations","nonzero",100,"IBMR",8,1335.95931652235,0.7875,1,2.72557197235913,0.444846267606576,0.386,744.334880757704,2.13036251147247,0.402137385487595,0.3775
"Beta_SSE106","fine_clean_simulations","nonzero",100,"IBMR",9,1247.28277017383,0.77,1,2.60256759015004,0.442016735858662,0.3745,686.300383409004,2.0732997505969,0.403128202323089,0.3595
"Beta_SSE107","fine_clean_simulations","nonzero",100,"IBMR_no_Gamma",1,1347.09016589639,0.875,1,2.98906892407086,0.459942481715009,0.3955,777.791991984825,2.45527832731759,0.425252727580176,0.3645
"Beta_SSE108","fine_clean_simulations","nonzero",100,"IBMR_no_Gamma",10,1338.29114686932,0.8325,1,2.90580817728652,0.45644677202634,0.3835,740.908443005466,2.27485148335633,0.41541653358784,0.369
"Beta_SSE109","fine_clean_simulations","nonzero",100,"IBMR_no_Gamma",11,1332.37360531794,0.8475,1,2.88959133593741,0.450461609907388,0.38,754.976932831284,2.25574954121486,0.40600714351393,0.356
"Beta_SSE150","fine_clean_simulations","nonzero",100,"IBMR_no_Gamma",12,1290.58438343078,0.8225,1,2.96597565939435,0.455352906023277,0.3755,702.141029716686,2.28929265728444,0.407131135776618,0.3625
