"","run","experiment","value","method","oracle","name","mean","two_se"
"52","random_X_and_Beta","N","4800","glmnet_subset","observed","error",0.61566,0.00509603354529156
"53","random_X_and_Beta","N","4800","glmnet_subset","observed","hellinger_distance",0.678015867281673,0.00339399205876266
"54","random_X_and_Beta","N","4800","glmnet_subset","observed","KL_divergence",8.73851858413767,0.135316788711376
"55","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","Beta_FPR",0.985375,0.00252031221958918
"56","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","Beta_SSE",1609.43525661815,18.0541788338251
"57","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","Beta_TPR",1,0
"58","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","error",0.320885,0.00326032852719832
"59","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","hellinger_distance",0.379333611393871,0.00217884942703655
"60","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","KL_divergence",1.7111753091827,0.0203511193712122
"61","random_X_and_Beta","N","4800","glmnet_relabel","observed","Beta_FPR",0.938125,0.0160462940466507
"62","random_X_and_Beta","N","4800","glmnet_relabel","observed","Beta_SSE",2206.44460206349,32.1746340479274
"63","random_X_and_Beta","N","4800","glmnet_relabel","observed","Beta_TPR",1,0
"64","random_X_and_Beta","N","4800","glmnet_relabel","observed","error",0.44179,0.00779085698954736
"65","random_X_and_Beta","N","4800","glmnet_relabel","observed","hellinger_distance",0.527147108385797,0.00512575424820936
"66","random_X_and_Beta","N","4800","glmnet_relabel","observed","KL_divergence",4.14205858962864,0.10999602037202
"67","random_X_and_Beta","N","4800","glmnet_relabel","ORC_fine","Beta_FPR",0.985375,0.00252031221958918
"68","random_X_and_Beta","N","4800","glmnet_relabel","ORC_fine","Beta_SSE",1609.43525661815,18.0541788338251
"69","random_X_and_Beta","N","4800","glmnet_relabel","ORC_fine","Beta_TPR",1,0
"70","random_X_and_Beta","N","4800","glmnet_relabel","ORC_fine","error",0.320885,0.00326032852719832
