"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","oracle"
"46","random_X_and_Beta","N",19200,"glmnet_subset",16,1902.34171146847,0.925,1,2.79313935906376,0.458914092050326,0.3855,"observed"
"47","random_X_and_Beta","N",19200,"glmnet_subset",17,1920.27637043962,0.9225,1,2.73193781158006,0.454643223191111,0.3706,"observed"
"48","random_X_and_Beta","N",19200,"glmnet_subset",18,1948.80799993345,0.9625,1,2.59730019790439,0.446548679581698,0.3723,"observed"
"49","random_X_and_Beta","N",19200,"glmnet_subset",19,1954.59326506807,0.9325,1,2.77750258078035,0.455589252361094,0.3782,"observed"
"50","random_X_and_Beta","N",19200,"glmnet_subset",2,2011.32694558767,0.9225,1,2.77367406534009,0.455427653551262,0.3756,"observed"
"51","random_X_and_Beta","N",19200,"glmnet_subset",20,1919.68303632393,0.9275,1,2.59667225920724,0.444535101388624,0.3688,"observed"
"52","random_X_and_Beta","N",19200,"glmnet_subset",3,1912.86481725567,0.92,1,2.72041975563991,0.452497644313133,0.3785,"observed"
"53","random_X_and_Beta","N",19200,"glmnet_subset",4,1900.05010660201,0.9475,1,2.67014841397378,0.449204313785785,0.3844,"observed"
"54","random_X_and_Beta","N",19200,"glmnet_subset",5,1938.97159884548,0.95,1,2.8036386210584,0.457653141387713,0.3879,"observed"
"55","random_X_and_Beta","N",19200,"glmnet_subset",6,1865.97613663845,0.965,1,2.6282920786059,0.448865452220319,0.3734,"observed"
"56","random_X_and_Beta","N",19200,"glmnet_subset",7,1910.24658212704,0.95,1,2.66337390979309,0.448926017071946,0.3829,"observed"
"57","random_X_and_Beta","N",19200,"glmnet_subset",8,1904.79395494111,0.945,1,2.72289466439429,0.457285695051599,0.3887,"observed"
"58","random_X_and_Beta","N",19200,"glmnet_subset",9,1863.62506897866,0.94,1,2.69052746643679,0.451556253077073,0.3826,"observed"
"59","random_X_and_Beta","N",19200,"glmnet_subset",1,881.903368113952,1,1,0.385655486940793,0.203985329564225,0.1835,"ORC_fine"
"60","random_X_and_Beta","N",19200,"glmnet_subset",10,875.346366758346,1,1,0.382096599286845,0.202675555963974,0.1763,"ORC_fine"
"61","random_X_and_Beta","N",19200,"glmnet_subset",11,838.673426635085,0.9975,1,0.379491994769321,0.203686084197694,0.1896,"ORC_fine"
"62","random_X_and_Beta","N",19200,"glmnet_subset",12,877.168839387583,1,1,0.403237055782199,0.208626588433599,0.183,"ORC_fine"
"63","random_X_and_Beta","N",19200,"glmnet_subset",13,850.076278858247,1,1,0.39015318096464,0.206238791182691,0.1924,"ORC_fine"
"64","random_X_and_Beta","N",19200,"glmnet_subset",14,902.20762813243,1,1,0.407094317417178,0.209348866777071,0.1854,"ORC_fine"
"65","random_X_and_Beta","N",19200,"glmnet_subset",15,809.464498884926,1,1,0.383570100535611,0.204729599895537,0.1885,"ORC_fine"
"66","random_X_and_Beta","N",19200,"glmnet_subset",16,823.348648955975,1,1,0.387391580017355,0.20571231624851,0.1859,"ORC_fine"
"67","random_X_and_Beta","N",19200,"glmnet_subset",17,657.151204116179,1,1,0.333788546333519,0.189219871569955,0.1896,"ORC_fine"
"68","random_X_and_Beta","N",19200,"glmnet_subset",18,866.484184995324,1,1,0.398386710711904,0.206995107888704,0.1859,"ORC_fine"
"69","random_X_and_Beta","N",19200,"glmnet_subset",19,867.250257142812,1,1,0.397341593258213,0.20769691758975,0.1922,"ORC_fine"
"70","random_X_and_Beta","N",19200,"glmnet_subset",2,706.468268755909,1,1,0.34855385955335,0.191306682202057,0.1909,"ORC_fine"
"71","random_X_and_Beta","N",19200,"glmnet_subset",20,866.472050148861,1,1,0.390058046051461,0.2053396016124,0.1788,"ORC_fine"
"72","random_X_and_Beta","N",19200,"glmnet_subset",3,664.196709381297,1,1,0.345138292802308,0.190900445045189,0.1886,"ORC_fine"
"73","random_X_and_Beta","N",19200,"glmnet_subset",4,838.067542069834,1,1,0.377213580115764,0.201746918581505,0.1808,"ORC_fine"
"74","random_X_and_Beta","N",19200,"glmnet_subset",5,859.750109248634,1,1,0.390319094220207,0.205402664049133,0.1867,"ORC_fine"
"75","random_X_and_Beta","N",19200,"glmnet_subset",6,847.837432524189,0.9975,1,0.386914800444453,0.205896613442987,0.1863,"ORC_fine"
"76","random_X_and_Beta","N",19200,"glmnet_subset",7,837.461493175938,1,1,0.371217212011636,0.200177815475849,0.1832,"ORC_fine"
"77","random_X_and_Beta","N",19200,"glmnet_subset",8,819.820429652461,1,1,0.368564029228769,0.201788639597845,0.1882,"ORC_fine"
"78","random_X_and_Beta","N",19200,"glmnet_subset",9,824.282393270901,1,1,0.369433543065232,0.200953109263131,0.183,"ORC_fine"
"79","random_X_and_Beta","N",19200,"IBMR_no_Gamma",1,966.355217995828,1,1,0.448309276876315,0.21809262832222,0.1896,"observed"
