"","run","experiment","value","method","replicate","name","result","group"
"43","fine_clean_low_dim_simulations","K","1","group_lasso",13,"Beta_TPR",1,"Kgroup_lassoBeta_TPR"
"44","fine_clean_low_dim_simulations","K","1","group_lasso",13,"KL_divergence",0.0157588180459024,"Kgroup_lassoKL_divergence"
"45","fine_clean_low_dim_simulations","K","1","group_lasso",13,"hellinger_distance",0.0494548503043394,"Kgroup_lassohellinger_distance"
"46","fine_clean_low_dim_simulations","K","1","group_lasso",13,"error",0.253,"Kgroup_lassoerror"
"47","fine_clean_low_dim_simulations","K","1","group_lasso",13,"best_case_Beta_SSE",3.35577742178631,"Kgroup_lassobest_case_Beta_SSE"
"48","fine_clean_low_dim_simulations","K","1","group_lasso",13,"best_case_KL_divergence",0.0155982811899757,"Kgroup_lassobest_case_KL_divergence"
"49","fine_clean_low_dim_simulations","K","1","group_lasso",13,"best_case_hellinger_distance",0.0490676147992383,"Kgroup_lassobest_case_hellinger_distance"
"50","fine_clean_low_dim_simulations","K","1","group_lasso",13,"best_case_error",0.2522,"Kgroup_lassobest_case_error"
"51","fine_clean_low_dim_simulations","K","1","group_lasso",14,"Beta_SSE",2.9714465230465,"Kgroup_lassoBeta_SSE"
"52","fine_clean_low_dim_simulations","K","1","group_lasso",14,"Beta_FPR",NA,"Kgroup_lassoBeta_FPR"
"53","fine_clean_low_dim_simulations","K","1","group_lasso",14,"Beta_TPR",1,"Kgroup_lassoBeta_TPR"
"54","fine_clean_low_dim_simulations","K","1","group_lasso",14,"KL_divergence",0.0164056173191811,"Kgroup_lassoKL_divergence"
"55","fine_clean_low_dim_simulations","K","1","group_lasso",14,"hellinger_distance",0.051784653553639,"Kgroup_lassohellinger_distance"
"56","fine_clean_low_dim_simulations","K","1","group_lasso",14,"error",0.2685,"Kgroup_lassoerror"
"57","fine_clean_low_dim_simulations","K","1","group_lasso",14,"best_case_Beta_SSE",2.97078338410176,"Kgroup_lassobest_case_Beta_SSE"
"58","fine_clean_low_dim_simulations","K","1","group_lasso",14,"best_case_KL_divergence",0.0164047339020522,"Kgroup_lassobest_case_KL_divergence"
"59","fine_clean_low_dim_simulations","K","1","group_lasso",14,"best_case_hellinger_distance",0.0517832143036991,"Kgroup_lassobest_case_hellinger_distance"
"60","fine_clean_low_dim_simulations","K","1","group_lasso",14,"best_case_error",0.268,"Kgroup_lassobest_case_error"
"61","fine_clean_low_dim_simulations","K","1","group_lasso",15,"Beta_SSE",3.91615880088355,"Kgroup_lassoBeta_SSE"
"62","fine_clean_low_dim_simulations","K","1","group_lasso",15,"Beta_FPR",NA,"Kgroup_lassoBeta_FPR"
"63","fine_clean_low_dim_simulations","K","1","group_lasso",15,"Beta_TPR",1,"Kgroup_lassoBeta_TPR"
"64","fine_clean_low_dim_simulations","K","1","group_lasso",15,"KL_divergence",0.0177253521011778,"Kgroup_lassoKL_divergence"
"65","fine_clean_low_dim_simulations","K","1","group_lasso",15,"hellinger_distance",0.0519559761952816,"Kgroup_lassohellinger_distance"
"66","fine_clean_low_dim_simulations","K","1","group_lasso",15,"error",0.2329,"Kgroup_lassoerror"
"67","fine_clean_low_dim_simulations","K","1","group_lasso",15,"best_case_Beta_SSE",3.91615880088355,"Kgroup_lassobest_case_Beta_SSE"
"68","fine_clean_low_dim_simulations","K","1","group_lasso",15,"best_case_KL_divergence",0.0177107176190454,"Kgroup_lassobest_case_KL_divergence"
"69","fine_clean_low_dim_simulations","K","1","group_lasso",15,"best_case_hellinger_distance",0.0518991076781071,"Kgroup_lassobest_case_hellinger_distance"
"70","fine_clean_low_dim_simulations","K","1","group_lasso",15,"best_case_error",0.2322,"Kgroup_lassobest_case_error"
"71","fine_clean_low_dim_simulations","K","1","group_lasso",16,"Beta_SSE",3.33536530969985,"Kgroup_lassoBeta_SSE"
"72","fine_clean_low_dim_simulations","K","1","group_lasso",16,"Beta_FPR",NA,"Kgroup_lassoBeta_FPR"
"73","fine_clean_low_dim_simulations","K","1","group_lasso",16,"Beta_TPR",1,"Kgroup_lassoBeta_TPR"
"74","fine_clean_low_dim_simulations","K","1","group_lasso",16,"KL_divergence",0.0158741479952676,"Kgroup_lassoKL_divergence"
"75","fine_clean_low_dim_simulations","K","1","group_lasso",16,"hellinger_distance",0.0504119083805878,"Kgroup_lassohellinger_distance"
"76","fine_clean_low_dim_simulations","K","1","group_lasso",16,"error",0.2551,"Kgroup_lassoerror"
"77","fine_clean_low_dim_simulations","K","1","group_lasso",16,"best_case_Beta_SSE",3.33233677449992,"Kgroup_lassobest_case_Beta_SSE"
"78","fine_clean_low_dim_simulations","K","1","group_lasso",16,"best_case_KL_divergence",0.0158702744218107,"Kgroup_lassobest_case_KL_divergence"
"79","fine_clean_low_dim_simulations","K","1","group_lasso",16,"best_case_hellinger_distance",0.0504119083805878,"Kgroup_lassobest_case_hellinger_distance"
"80","fine_clean_low_dim_simulations","K","1","group_lasso",16,"best_case_error",0.2548,"Kgroup_lassobest_case_error"
"81","fine_clean_low_dim_simulations","K","1","group_lasso",17,"Beta_SSE",3.54503910761337,"Kgroup_lassoBeta_SSE"
"82","fine_clean_low_dim_simulations","K","1","group_lasso",17,"Beta_FPR",NA,"Kgroup_lassoBeta_FPR"
"83","fine_clean_low_dim_simulations","K","1","group_lasso",17,"Beta_TPR",1,"Kgroup_lassoBeta_TPR"
"84","fine_clean_low_dim_simulations","K","1","group_lasso",17,"KL_divergence",0.0161462323871639,"Kgroup_lassoKL_divergence"
"85","fine_clean_low_dim_simulations","K","1","group_lasso",17,"hellinger_distance",0.0506071717104295,"Kgroup_lassohellinger_distance"
"86","fine_clean_low_dim_simulations","K","1","group_lasso",17,"error",0.2513,"Kgroup_lassoerror"
"87","fine_clean_low_dim_simulations","K","1","group_lasso",17,"best_case_Beta_SSE",3.51739498899424,"Kgroup_lassobest_case_Beta_SSE"
"88","fine_clean_low_dim_simulations","K","1","group_lasso",17,"best_case_KL_divergence",0.0161255785123066,"Kgroup_lassobest_case_KL_divergence"
"89","fine_clean_low_dim_simulations","K","1","group_lasso",17,"best_case_hellinger_distance",0.050581971105467,"Kgroup_lassobest_case_hellinger_distance"
"90","fine_clean_low_dim_simulations","K","1","group_lasso",17,"best_case_error",0.2513,"Kgroup_lassobest_case_error"
"91","fine_clean_low_dim_simulations","K","1","group_lasso",18,"Beta_SSE",3.98301220443522,"Kgroup_lassoBeta_SSE"
"92","fine_clean_low_dim_simulations","K","1","group_lasso",18,"Beta_FPR",NA,"Kgroup_lassoBeta_FPR"
"93","fine_clean_low_dim_simulations","K","1","group_lasso",18,"Beta_TPR",1,"Kgroup_lassoBeta_TPR"
"94","fine_clean_low_dim_simulations","K","1","group_lasso",18,"KL_divergence",0.0169888303543287,"Kgroup_lassoKL_divergence"
"95","fine_clean_low_dim_simulations","K","1","group_lasso",18,"hellinger_distance",0.0505072309793603,"Kgroup_lassohellinger_distance"
"96","fine_clean_low_dim_simulations","K","1","group_lasso",18,"error",0.243,"Kgroup_lassoerror"
"97","fine_clean_low_dim_simulations","K","1","group_lasso",18,"best_case_Beta_SSE",3.91669603615303,"Kgroup_lassobest_case_Beta_SSE"
"98","fine_clean_low_dim_simulations","K","1","group_lasso",18,"best_case_KL_divergence",0.0169797441868085,"Kgroup_lassobest_case_KL_divergence"
"99","fine_clean_low_dim_simulations","K","1","group_lasso",18,"best_case_hellinger_distance",0.0504836922370855,"Kgroup_lassobest_case_hellinger_distance"
"100","fine_clean_low_dim_simulations","K","1","group_lasso",18,"best_case_error",0.2423,"Kgroup_lassobest_case_error"
"101","fine_clean_low_dim_simulations","K","1","group_lasso",19,"Beta_SSE",3.24241487497974,"Kgroup_lassoBeta_SSE"
"102","fine_clean_low_dim_simulations","K","1","group_lasso",19,"Beta_FPR",NA,"Kgroup_lassoBeta_FPR"
"103","fine_clean_low_dim_simulations","K","1","group_lasso",19,"Beta_TPR",1,"Kgroup_lassoBeta_TPR"
"104","fine_clean_low_dim_simulations","K","1","group_lasso",19,"KL_divergence",0.01758571497209,"Kgroup_lassoKL_divergence"
"105","fine_clean_low_dim_simulations","K","1","group_lasso",19,"hellinger_distance",0.0534999158989169,"Kgroup_lassohellinger_distance"
"106","fine_clean_low_dim_simulations","K","1","group_lasso",19,"error",0.2717,"Kgroup_lassoerror"
"107","fine_clean_low_dim_simulations","K","1","group_lasso",19,"best_case_Beta_SSE",3.15895593583976,"Kgroup_lassobest_case_Beta_SSE"
"108","fine_clean_low_dim_simulations","K","1","group_lasso",19,"best_case_KL_divergence",0.0175186514343375,"Kgroup_lassobest_case_KL_divergence"
"109","fine_clean_low_dim_simulations","K","1","group_lasso",19,"best_case_hellinger_distance",0.0533933025318297,"Kgroup_lassobest_case_hellinger_distance"
"110","fine_clean_low_dim_simulations","K","1","group_lasso",19,"best_case_error",0.2716,"Kgroup_lassobest_case_error"
"111","fine_clean_low_dim_simulations","K","1","group_lasso",2,"Beta_SSE",5.25738371233541,"Kgroup_lassoBeta_SSE"
"112","fine_clean_low_dim_simulations","K","1","group_lasso",2,"Beta_FPR",NA,"Kgroup_lassoBeta_FPR"
"113","fine_clean_low_dim_simulations","K","1","group_lasso",2,"Beta_TPR",1,"Kgroup_lassoBeta_TPR"
"114","fine_clean_low_dim_simulations","K","1","group_lasso",2,"KL_divergence",0.0170593224506062,"Kgroup_lassoKL_divergence"
"115","fine_clean_low_dim_simulations","K","1","group_lasso",2,"hellinger_distance",0.0500278803257855,"Kgroup_lassohellinger_distance"
"116","fine_clean_low_dim_simulations","K","1","group_lasso",2,"error",0.2298,"Kgroup_lassoerror"
"117","fine_clean_low_dim_simulations","K","1","group_lasso",2,"best_case_Beta_SSE",5.25738371233541,"Kgroup_lassobest_case_Beta_SSE"
"118","fine_clean_low_dim_simulations","K","1","group_lasso",2,"best_case_KL_divergence",0.0170593224506062,"Kgroup_lassobest_case_KL_divergence"
"119","fine_clean_low_dim_simulations","K","1","group_lasso",2,"best_case_hellinger_distance",0.0500278803257855,"Kgroup_lassobest_case_hellinger_distance"
"120","fine_clean_low_dim_simulations","K","1","group_lasso",2,"best_case_error",0.2296,"Kgroup_lassobest_case_error"
"121","fine_clean_low_dim_simulations","K","1","group_lasso",20,"Beta_SSE",4.07449687105926,"Kgroup_lassoBeta_SSE"
"122","fine_clean_low_dim_simulations","K","1","group_lasso",20,"Beta_FPR",NA,"Kgroup_lassoBeta_FPR"
"123","fine_clean_low_dim_simulations","K","1","group_lasso",20,"Beta_TPR",1,"Kgroup_lassoBeta_TPR"
"124","fine_clean_low_dim_simulations","K","1","group_lasso",20,"KL_divergence",0.0144459670466445,"Kgroup_lassoKL_divergence"
"125","fine_clean_low_dim_simulations","K","1","group_lasso",20,"hellinger_distance",0.046117306991104,"Kgroup_lassohellinger_distance"
"126","fine_clean_low_dim_simulations","K","1","group_lasso",20,"error",0.2373,"Kgroup_lassoerror"
"127","fine_clean_low_dim_simulations","K","1","group_lasso",20,"best_case_Beta_SSE",3.78503095525494,"Kgroup_lassobest_case_Beta_SSE"
"128","fine_clean_low_dim_simulations","K","1","group_lasso",20,"best_case_KL_divergence",0.0143036304378493,"Kgroup_lassobest_case_KL_divergence"
"129","fine_clean_low_dim_simulations","K","1","group_lasso",20,"best_case_hellinger_distance",0.0457712475137252,"Kgroup_lassobest_case_hellinger_distance"
"130","fine_clean_low_dim_simulations","K","1","group_lasso",20,"best_case_error",0.2365,"Kgroup_lassobest_case_error"
"131","fine_clean_low_dim_simulations","K","1","group_lasso",21,"Beta_SSE",3.83500185067994,"Kgroup_lassoBeta_SSE"
"132","fine_clean_low_dim_simulations","K","1","group_lasso",21,"Beta_FPR",NA,"Kgroup_lassoBeta_FPR"
"133","fine_clean_low_dim_simulations","K","1","group_lasso",21,"Beta_TPR",1,"Kgroup_lassoBeta_TPR"
"134","fine_clean_low_dim_simulations","K","1","group_lasso",21,"KL_divergence",0.0151135167594125,"Kgroup_lassoKL_divergence"
"135","fine_clean_low_dim_simulations","K","1","group_lasso",21,"hellinger_distance",0.0478983719995449,"Kgroup_lassohellinger_distance"
"136","fine_clean_low_dim_simulations","K","1","group_lasso",21,"error",0.2341,"Kgroup_lassoerror"
"137","fine_clean_low_dim_simulations","K","1","group_lasso",21,"best_case_Beta_SSE",3.83500185067994,"Kgroup_lassobest_case_Beta_SSE"
"138","fine_clean_low_dim_simulations","K","1","group_lasso",21,"best_case_KL_divergence",0.0151135167594125,"Kgroup_lassobest_case_KL_divergence"
"139","fine_clean_low_dim_simulations","K","1","group_lasso",21,"best_case_hellinger_distance",0.0478983719995449,"Kgroup_lassobest_case_hellinger_distance"
"140","fine_clean_low_dim_simulations","K","1","group_lasso",21,"best_case_error",0.2336,"Kgroup_lassobest_case_error"
"141","fine_clean_low_dim_simulations","K","1","group_lasso",22,"Beta_SSE",5.406762290904,"Kgroup_lassoBeta_SSE"
"142","fine_clean_low_dim_simulations","K","1","group_lasso",22,"Beta_FPR",NA,"Kgroup_lassoBeta_FPR"
"143","fine_clean_low_dim_simulations","K","1","group_lasso",22,"Beta_TPR",1,"Kgroup_lassoBeta_TPR"
"144","fine_clean_low_dim_simulations","K","1","group_lasso",22,"KL_divergence",0.0168755363258438,"Kgroup_lassoKL_divergence"
"145","fine_clean_low_dim_simulations","K","1","group_lasso",22,"hellinger_distance",0.0508010980807548,"Kgroup_lassohellinger_distance"
"146","fine_clean_low_dim_simulations","K","1","group_lasso",22,"error",0.2445,"Kgroup_lassoerror"
"147","fine_clean_low_dim_simulations","K","1","group_lasso",22,"best_case_Beta_SSE",4.47809108660127,"Kgroup_lassobest_case_Beta_SSE"
"148","fine_clean_low_dim_simulations","K","1","group_lasso",22,"best_case_KL_divergence",0.016260150149019,"Kgroup_lassobest_case_KL_divergence"
"149","fine_clean_low_dim_simulations","K","1","group_lasso",22,"best_case_hellinger_distance",0.0497266028585222,"Kgroup_lassobest_case_hellinger_distance"
