"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error"
"Beta_SSE336","fine_clean_low_dim_simulations","K",16,"IBMR",42,3.31157030606738,NA,1,0.0162431911615215,0.0503789542840485,0.2369,3.29968784676254,0.0162375401280093,0.050375175219044,0.2361
"Beta_SSE337","fine_clean_low_dim_simulations","K",16,"IBMR",43,3.38980748480961,NA,1,0.0168011946268864,0.05135300957311,0.2494,3.36039313920398,0.0167847874784955,0.0513162303956644,0.2491
"Beta_SSE338","fine_clean_low_dim_simulations","K",16,"IBMR",44,3.31305795201734,NA,1,0.01581193479337,0.0511237182096994,0.268,3.11976111088738,0.0156187486179232,0.0507453301170018,0.2669
"Beta_SSE339","fine_clean_low_dim_simulations","K",16,"IBMR",45,3.3672262019232,NA,1,0.0169215892416934,0.0511972644172203,0.2451,3.32083503705092,0.0168846508497754,0.0510196192612357,0.2436
"Beta_SSE340","fine_clean_low_dim_simulations","K",16,"IBMR",46,3.84073988717625,NA,1,0.0150568654419809,0.0474679364339505,0.2375,3.6602314193253,0.0149581386670432,0.0473295884782717,0.236
"Beta_SSE341","fine_clean_low_dim_simulations","K",16,"IBMR",47,3.94026244182696,NA,1,0.0159822402383519,0.0497376054322321,0.2483,3.90498249592641,0.0159822402383519,0.0497376054322321,0.2476
"Beta_SSE342","fine_clean_low_dim_simulations","K",16,"IBMR",48,2.96881085412283,NA,1,0.0143289268980484,0.0467391871446464,0.2493,2.96401975618735,0.0143110840397558,0.0467275560718547,0.2479
"Beta_SSE343","fine_clean_low_dim_simulations","K",16,"IBMR",49,3.97851517049922,NA,1,0.016287744293071,0.0503866754290816,0.2581,3.94685066766064,0.0162605836700202,0.0503779698537068,0.2574
"Beta_SSE344","fine_clean_low_dim_simulations","K",16,"IBMR",5,3.50106413115419,NA,1,0.0163131534844288,0.0512265518948775,0.2544,3.49774647603456,0.0163060733906694,0.0511853211856911,0.2532
"Beta_SSE345","fine_clean_low_dim_simulations","K",16,"IBMR",50,3.44290879411143,NA,1,0.0154131430086834,0.0489737917680092,0.2531,3.44249441243162,0.0154127987306833,0.048973074925478,0.2521
"Beta_SSE346","fine_clean_low_dim_simulations","K",16,"IBMR",6,3.87154933613808,NA,1,0.0174085730684406,0.0519863527856739,0.2535,3.57707804416144,0.01724853391861,0.0517190299500974,0.2529
"Beta_SSE347","fine_clean_low_dim_simulations","K",16,"IBMR",7,3.0219427789467,NA,1,0.0178966500557735,0.0547795079865114,0.2777,2.91439023547693,0.0178090310965342,0.0546600313469229,0.2757
"Beta_SSE348","fine_clean_low_dim_simulations","K",16,"IBMR",8,3.10327594607,NA,1,0.0156100944230849,0.0497021490962905,0.2479,3.04043350659754,0.0155467690557549,0.0496339134493139,0.2474
"Beta_SSE349","fine_clean_low_dim_simulations","K",16,"IBMR",9,3.11220183905304,NA,1,0.0161216381935284,0.0493607239078346,0.2457,2.99631097843104,0.01599048059811,0.0490869225066944,0.2448
"Beta_SSE350","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",1,2.77905775231237,NA,1,0.0157018166546097,0.0498498998264791,0.2575,2.77652681106554,0.0156801616512194,0.0498101117134122,0.2563
"Beta_SSE351","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",10,3.14370888819541,NA,1,0.0164671553980831,0.0515892166951543,0.2574,3.12142692935676,0.0164467968467758,0.0515328205124715,0.2562
"Beta_SSE352","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",11,3.98310918478373,NA,1,0.0176315063236386,0.0525320240574569,0.254,3.95322517163642,0.0175890381143642,0.052387815003036,0.2536
"Beta_SSE353","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",12,2.86184480908015,NA,1,0.0142867943396566,0.0483555645054747,0.2707,2.8166602451936,0.0142533210342153,0.048149833664978,0.27
"Beta_SSE354","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",13,3.51760273989133,NA,1,0.0158101109847901,0.0496101159203992,0.2524,3.35024323105784,0.0155804138374126,0.0490335827427512,0.2516
"Beta_SSE355","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",14,3.00054273555769,NA,1,0.0164288514614083,0.0518344990599533,0.2685,2.91035618860942,0.0162800516853698,0.0516238836470668,0.2669
"Beta_SSE356","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",15,3.93236753102712,NA,1,0.017815160413516,0.0521104172768531,0.2331,3.93236753102712,0.0178109559173224,0.0520802422287032,0.2319
"Beta_SSE357","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",16,3.37218627650149,NA,1,0.0159984117604905,0.0506187719428053,0.2545,3.37218627650149,0.0159924333714475,0.0506187719428053,0.2531
"Beta_SSE358","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",17,3.48073189524446,NA,1,0.016018069509882,0.0504119191525442,0.2517,3.4491062823227,0.015998251421038,0.0504013332890379,0.251
"Beta_SSE359","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",18,4.05351090758182,NA,1,0.0170442690651257,0.0506519704218461,0.2427,3.91871845946872,0.0169764954774689,0.0504980084619231,0.2421
