"","run","experiment","value","method","name","mean","two_se"
"1","fine_clean_low_dim_simulations","K","1","IBMR","best_case_Beta_SSE",3.459542252021,0.163831374404978
"2","fine_clean_low_dim_simulations","K","1","IBMR","best_case_error",0.248632,0.00349154285527245
"3","fine_clean_low_dim_simulations","K","1","IBMR","best_case_hellinger_distance",0.050107393396856,0.000563068537737273
"4","fine_clean_low_dim_simulations","K","1","IBMR","best_case_KL_divergence",0.0161304127922407,0.000296107844716878
"5","fine_clean_low_dim_simulations","K","1","IBMR","Beta_FPR",NA,NA
"6","fine_clean_low_dim_simulations","K","1","IBMR","Beta_SSE",3.54023268640696,0.169393379584298
"7","fine_clean_low_dim_simulations","K","1","IBMR","Beta_TPR",1,0
"8","fine_clean_low_dim_simulations","K","1","IBMR","error",0.249674,0.00348884079924106
"9","fine_clean_low_dim_simulations","K","1","IBMR","hellinger_distance",0.0502592315153837,0.000566465014994405
"10","fine_clean_low_dim_simulations","K","1","IBMR","KL_divergence",0.0162055582017034,0.000299928930537011
"11","fine_clean_low_dim_simulations","K","1","IBMR_common_Gamma","best_case_Beta_SSE",3.459542252021,0.163831374404978
"12","fine_clean_low_dim_simulations","K","1","IBMR_common_Gamma","best_case_error",0.248632,0.00349154285527245
"13","fine_clean_low_dim_simulations","K","1","IBMR_common_Gamma","best_case_hellinger_distance",0.050107393396856,0.000563068537737273
"14","fine_clean_low_dim_simulations","K","1","IBMR_common_Gamma","best_case_KL_divergence",0.0161304127922407,0.000296107844716878
"15","fine_clean_low_dim_simulations","K","1","IBMR_common_Gamma","Beta_FPR",NA,NA
"16","fine_clean_low_dim_simulations","K","1","IBMR_common_Gamma","Beta_SSE",3.54023268640696,0.169393379584298
"17","fine_clean_low_dim_simulations","K","1","IBMR_common_Gamma","Beta_TPR",1,0
"18","fine_clean_low_dim_simulations","K","1","IBMR_common_Gamma","error",0.249674,0.00348884079924106
"19","fine_clean_low_dim_simulations","K","1","IBMR_common_Gamma","hellinger_distance",0.0502592315153837,0.000566465014994405
"20","fine_clean_low_dim_simulations","K","1","IBMR_common_Gamma","KL_divergence",0.0162055582017034,0.000299928930537011
"21","fine_clean_low_dim_simulations","K","1","IBMR_no_Gamma","best_case_Beta_SSE",3.46684189905434,0.164210114664234
"22","fine_clean_low_dim_simulations","K","1","IBMR_no_Gamma","best_case_error",0.249122,0.00350073713520394
"23","fine_clean_low_dim_simulations","K","1","IBMR_no_Gamma","best_case_hellinger_distance",0.0501406622359474,0.00055935318950642
"24","fine_clean_low_dim_simulations","K","1","IBMR_no_Gamma","best_case_KL_divergence",0.0161481981029832,0.000293314356550362
"25","fine_clean_low_dim_simulations","K","1","IBMR_no_Gamma","Beta_FPR",NA,NA
"26","fine_clean_low_dim_simulations","K","1","IBMR_no_Gamma","Beta_SSE",3.55455120423991,0.172250869224428
"27","fine_clean_low_dim_simulations","K","1","IBMR_no_Gamma","Beta_TPR",1,0
"28","fine_clean_low_dim_simulations","K","1","IBMR_no_Gamma","error",0.249656,0.00348992794499034
"29","fine_clean_low_dim_simulations","K","1","IBMR_no_Gamma","hellinger_distance",0.0502862049360509,0.0005691705212847
"30","fine_clean_low_dim_simulations","K","1","IBMR_no_Gamma","KL_divergence",0.0162201110021708,0.000298883676745244
"31","fine_clean_low_dim_simulations","K","1","group_lasso","best_case_Beta_SSE",3.46639224771634,0.164339348328809
"32","fine_clean_low_dim_simulations","K","1","group_lasso","best_case_error",0.249132,0.00350035538720495
"33","fine_clean_low_dim_simulations","K","1","group_lasso","best_case_hellinger_distance",0.0501373863711777,0.000559124969985271
"34","fine_clean_low_dim_simulations","K","1","group_lasso","best_case_KL_divergence",0.0161465319019085,0.000293168329577492
"35","fine_clean_low_dim_simulations","K","1","group_lasso","Beta_FPR",NA,NA
"36","fine_clean_low_dim_simulations","K","1","group_lasso","Beta_SSE",3.55408447528954,0.172016815352393
"37","fine_clean_low_dim_simulations","K","1","group_lasso","Beta_TPR",1,0
"38","fine_clean_low_dim_simulations","K","1","group_lasso","error",0.24965,0.00349035873251341
"39","fine_clean_low_dim_simulations","K","1","group_lasso","hellinger_distance",0.0502835038983305,0.000568445373965857
"40","fine_clean_low_dim_simulations","K","1","group_lasso","KL_divergence",0.0162189287363822,0.000298488288681607
"41","fine_clean_low_dim_simulations","K","2","IBMR","best_case_Beta_SSE",3.45763848217362,0.163487660074412
"42","fine_clean_low_dim_simulations","K","2","IBMR","best_case_error",0.24858,0.0035112972194426
"43","fine_clean_low_dim_simulations","K","2","IBMR","best_case_hellinger_distance",0.05009561170151,0.000565914793870971
"44","fine_clean_low_dim_simulations","K","2","IBMR","best_case_KL_divergence",0.0161219966534938,0.000297441288972078
"45","fine_clean_low_dim_simulations","K","2","IBMR","Beta_FPR",NA,NA
"46","fine_clean_low_dim_simulations","K","2","IBMR","Beta_SSE",3.53885187245755,0.166982754544267
"47","fine_clean_low_dim_simulations","K","2","IBMR","Beta_TPR",1,0
"48","fine_clean_low_dim_simulations","K","2","IBMR","error",0.249566,0.00350371282953337
"49","fine_clean_low_dim_simulations","K","2","IBMR","hellinger_distance",0.0502460494416081,0.000572741014053001
"50","fine_clean_low_dim_simulations","K","2","IBMR","KL_divergence",0.0161981608347313,0.000301739609622796
"51","fine_clean_low_dim_simulations","K","2","IBMR_common_Gamma","best_case_Beta_SSE",3.459542252021,0.163831374404978
"52","fine_clean_low_dim_simulations","K","2","IBMR_common_Gamma","best_case_error",0.248632,0.00349154285527245
"53","fine_clean_low_dim_simulations","K","2","IBMR_common_Gamma","best_case_hellinger_distance",0.050107393396856,0.000563068537737273
"54","fine_clean_low_dim_simulations","K","2","IBMR_common_Gamma","best_case_KL_divergence",0.0161304127922407,0.000296107844716878
"55","fine_clean_low_dim_simulations","K","2","IBMR_common_Gamma","Beta_FPR",NA,NA
"56","fine_clean_low_dim_simulations","K","2","IBMR_common_Gamma","Beta_SSE",3.54023268640696,0.169393379584298
"57","fine_clean_low_dim_simulations","K","2","IBMR_common_Gamma","Beta_TPR",1,0
"58","fine_clean_low_dim_simulations","K","2","IBMR_common_Gamma","error",0.249674,0.00348884079924106
"59","fine_clean_low_dim_simulations","K","2","IBMR_common_Gamma","hellinger_distance",0.0502592315153837,0.000566465014994405
"60","fine_clean_low_dim_simulations","K","2","IBMR_common_Gamma","KL_divergence",0.0162055582017034,0.000299928930537011
"61","fine_clean_low_dim_simulations","K","2","IBMR_no_Gamma","best_case_Beta_SSE",3.46686418988263,0.164213096193491
"62","fine_clean_low_dim_simulations","K","2","IBMR_no_Gamma","best_case_error",0.249122,0.00350073713520394
"63","fine_clean_low_dim_simulations","K","2","IBMR_no_Gamma","best_case_hellinger_distance",0.0501407573091573,0.000559348709105754
"64","fine_clean_low_dim_simulations","K","2","IBMR_no_Gamma","best_case_KL_divergence",0.0161482713883515,0.000293306843076206
"65","fine_clean_low_dim_simulations","K","2","IBMR_no_Gamma","Beta_FPR",NA,NA
"66","fine_clean_low_dim_simulations","K","2","IBMR_no_Gamma","Beta_SSE",3.55447073191306,0.172229927472224
"67","fine_clean_low_dim_simulations","K","2","IBMR_no_Gamma","Beta_TPR",1,0
"68","fine_clean_low_dim_simulations","K","2","IBMR_no_Gamma","error",0.249654,0.00348975508175176
"69","fine_clean_low_dim_simulations","K","2","IBMR_no_Gamma","hellinger_distance",0.0502870847157533,0.000568835783280171
"70","fine_clean_low_dim_simulations","K","2","IBMR_no_Gamma","KL_divergence",0.0162206922595491,0.00029868732291475
"71","fine_clean_low_dim_simulations","K","2","group_lasso","best_case_Beta_SSE",3.46639224771634,0.164339348328809
"72","fine_clean_low_dim_simulations","K","2","group_lasso","best_case_error",0.249132,0.00350035538720495
"73","fine_clean_low_dim_simulations","K","2","group_lasso","best_case_hellinger_distance",0.0501373863711777,0.000559124969985271
"74","fine_clean_low_dim_simulations","K","2","group_lasso","best_case_KL_divergence",0.0161465319019085,0.000293168329577492
"75","fine_clean_low_dim_simulations","K","2","group_lasso","Beta_FPR",NA,NA
"76","fine_clean_low_dim_simulations","K","2","group_lasso","Beta_SSE",3.55408447528954,0.172016815352393
"77","fine_clean_low_dim_simulations","K","2","group_lasso","Beta_TPR",1,0
"78","fine_clean_low_dim_simulations","K","2","group_lasso","error",0.24965,0.00349035873251341
"79","fine_clean_low_dim_simulations","K","2","group_lasso","hellinger_distance",0.0502835038983305,0.000568445373965857
"80","fine_clean_low_dim_simulations","K","2","group_lasso","KL_divergence",0.0162189287363822,0.000298488288681607
"81","fine_clean_low_dim_simulations","K","4","IBMR","best_case_Beta_SSE",3.45690126374298,0.163548851730015
"82","fine_clean_low_dim_simulations","K","4","IBMR","best_case_error",0.24847,0.00351487219264261
"83","fine_clean_low_dim_simulations","K","4","IBMR","best_case_hellinger_distance",0.0501055792912091,0.000561859423820728
"84","fine_clean_low_dim_simulations","K","4","IBMR","best_case_KL_divergence",0.016128317373744,0.000294681915243133
"85","fine_clean_low_dim_simulations","K","4","IBMR","Beta_FPR",NA,NA
"86","fine_clean_low_dim_simulations","K","4","IBMR","Beta_SSE",3.53319884531739,0.165537372273764
"87","fine_clean_low_dim_simulations","K","4","IBMR","Beta_TPR",1,0
"88","fine_clean_low_dim_simulations","K","4","IBMR","error",0.249694,0.00348072434403871
"89","fine_clean_low_dim_simulations","K","4","IBMR","hellinger_distance",0.050246100063578,0.000565610746207393
"90","fine_clean_low_dim_simulations","K","4","IBMR","KL_divergence",0.0162022507977552,0.000296012129103892
"91","fine_clean_low_dim_simulations","K","4","IBMR_common_Gamma","best_case_Beta_SSE",3.459542252021,0.163831374404978
"92","fine_clean_low_dim_simulations","K","4","IBMR_common_Gamma","best_case_error",0.248632,0.00349154285527245
"93","fine_clean_low_dim_simulations","K","4","IBMR_common_Gamma","best_case_hellinger_distance",0.050107393396856,0.000563068537737273
"94","fine_clean_low_dim_simulations","K","4","IBMR_common_Gamma","best_case_KL_divergence",0.0161304127922407,0.000296107844716878
"95","fine_clean_low_dim_simulations","K","4","IBMR_common_Gamma","Beta_FPR",NA,NA
"96","fine_clean_low_dim_simulations","K","4","IBMR_common_Gamma","Beta_SSE",3.54023268640696,0.169393379584298
"97","fine_clean_low_dim_simulations","K","4","IBMR_common_Gamma","Beta_TPR",1,0
"98","fine_clean_low_dim_simulations","K","4","IBMR_common_Gamma","error",0.249674,0.00348884079924106
"99","fine_clean_low_dim_simulations","K","4","IBMR_common_Gamma","hellinger_distance",0.0502592315153837,0.000566465014994405
"100","fine_clean_low_dim_simulations","K","4","IBMR_common_Gamma","KL_divergence",0.0162055582017034,0.000299928930537011
"101","fine_clean_low_dim_simulations","K","4","IBMR_no_Gamma","best_case_Beta_SSE",3.46687335708383,0.164209297419281
"102","fine_clean_low_dim_simulations","K","4","IBMR_no_Gamma","best_case_error",0.249122,0.00350073713520394
"103","fine_clean_low_dim_simulations","K","4","IBMR_no_Gamma","best_case_hellinger_distance",0.0501407619534959,0.000559412357589618
"104","fine_clean_low_dim_simulations","K","4","IBMR_no_Gamma","best_case_KL_divergence",0.0161482959500571,0.000293358429112355
"105","fine_clean_low_dim_simulations","K","4","IBMR_no_Gamma","Beta_FPR",NA,NA
"106","fine_clean_low_dim_simulations","K","4","IBMR_no_Gamma","Beta_SSE",3.55448087198418,0.172185738024284
"107","fine_clean_low_dim_simulations","K","4","IBMR_no_Gamma","Beta_TPR",1,0
"108","fine_clean_low_dim_simulations","K","4","IBMR_no_Gamma","error",0.249652,0.00349096204505291
"109","fine_clean_low_dim_simulations","K","4","IBMR_no_Gamma","hellinger_distance",0.0502861782294166,0.00056918988662556
"110","fine_clean_low_dim_simulations","K","4","IBMR_no_Gamma","KL_divergence",0.0162200811062643,0.000298895884191692
"111","fine_clean_low_dim_simulations","K","4","group_lasso","best_case_Beta_SSE",3.46639224771634,0.164339348328809
"112","fine_clean_low_dim_simulations","K","4","group_lasso","best_case_error",0.249132,0.00350035538720495
"113","fine_clean_low_dim_simulations","K","4","group_lasso","best_case_hellinger_distance",0.0501373863711777,0.000559124969985271
"114","fine_clean_low_dim_simulations","K","4","group_lasso","best_case_KL_divergence",0.0161465319019085,0.000293168329577492
"115","fine_clean_low_dim_simulations","K","4","group_lasso","Beta_FPR",NA,NA
"116","fine_clean_low_dim_simulations","K","4","group_lasso","Beta_SSE",3.55408447528954,0.172016815352393
"117","fine_clean_low_dim_simulations","K","4","group_lasso","Beta_TPR",1,0
"118","fine_clean_low_dim_simulations","K","4","group_lasso","error",0.24965,0.00349035873251341
"119","fine_clean_low_dim_simulations","K","4","group_lasso","hellinger_distance",0.0502835038983305,0.000568445373965857
"120","fine_clean_low_dim_simulations","K","4","group_lasso","KL_divergence",0.0162189287363822,0.000298488288681607
"121","fine_clean_low_dim_simulations","K","8","IBMR","best_case_Beta_SSE",3.45428470735867,0.162805353381465
"122","fine_clean_low_dim_simulations","K","8","IBMR","best_case_error",0.248574,0.00348376905910005
