"","run","experiment","value","method","name","mean","two_se","group"
"44","fine_clean_simulations","nonzero","50","IBMR","best_case_KL_divergence",0.868957973621339,0.012073608399041,"nonzeroIBMRbest_case_KL_divergence"
"45","fine_clean_simulations","nonzero","50","IBMR","Beta_FPR",0.611018518518519,0.0155453970732841,"nonzeroIBMRBeta_FPR"
"46","fine_clean_simulations","nonzero","50","IBMR","Beta_SSE",459.303547037871,8.1413640762683,"nonzeroIBMRBeta_SSE"
"47","fine_clean_simulations","nonzero","50","IBMR","Beta_TPR",1,0,"nonzeroIBMRBeta_TPR"
"48","fine_clean_simulations","nonzero","50","IBMR","error",0.319760416666667,0.00357926821824411,"nonzeroIBMRerror"
"49","fine_clean_simulations","nonzero","50","IBMR","hellinger_distance",0.337921497289121,0.00277165203284067,"nonzeroIBMRhellinger_distance"
"50","fine_clean_simulations","nonzero","50","IBMR","KL_divergence",1.07584382018958,0.0200952060211868,"nonzeroIBMRKL_divergence"
"51","fine_clean_simulations","nonzero","50","IBMR_no_Gamma","best_case_Beta_SSE",210.835277396113,2.92860324497411,"nonzeroIBMR_no_Gammabest_case_Beta_SSE"
"52","fine_clean_simulations","nonzero","50","IBMR_no_Gamma","best_case_error",0.30346,0.00326000375610151,"nonzeroIBMR_no_Gammabest_case_error"
"53","fine_clean_simulations","nonzero","50","IBMR_no_Gamma","best_case_hellinger_distance",0.332597418341638,0.00189037197765475,"nonzeroIBMR_no_Gammabest_case_hellinger_distance"
"54","fine_clean_simulations","nonzero","50","IBMR_no_Gamma","best_case_KL_divergence",1.05839558945406,0.0117914966621676,"nonzeroIBMR_no_Gammabest_case_KL_divergence"
"55","fine_clean_simulations","nonzero","50","IBMR_no_Gamma","Beta_FPR",0.795511111111111,0.00622803745101999,"nonzeroIBMR_no_GammaBeta_FPR"
"56","fine_clean_simulations","nonzero","50","IBMR_no_Gamma","Beta_SSE",495.669933501687,6.20080671136591,"nonzeroIBMR_no_GammaBeta_SSE"
"57","fine_clean_simulations","nonzero","50","IBMR_no_Gamma","Beta_TPR",1,0,"nonzeroIBMR_no_GammaBeta_TPR"
"58","fine_clean_simulations","nonzero","50","IBMR_no_Gamma","error",0.32578,0.00330283242699601,"nonzeroIBMR_no_Gammaerror"
"59","fine_clean_simulations","nonzero","50","IBMR_no_Gamma","hellinger_distance",0.361925059179815,0.00164124683840196,"nonzeroIBMR_no_Gammahellinger_distance"
"60","fine_clean_simulations","nonzero","50","IBMR_no_Gamma","KL_divergence",1.26337355012605,0.013700690962393,"nonzeroIBMR_no_GammaKL_divergence"
"61","fine_clean_simulations","nonzero","50","group_lasso","best_case_Beta_SSE",232.091641398304,3.29425435179335,"nonzerogroup_lassobest_case_Beta_SSE"
"62","fine_clean_simulations","nonzero","50","group_lasso","best_case_error",0.30362,0.00329062490188383,"nonzerogroup_lassobest_case_error"
"63","fine_clean_simulations","nonzero","50","group_lasso","best_case_hellinger_distance",0.344698434380643,0.00188156556439737,"nonzerogroup_lassobest_case_hellinger_distance"
"64","fine_clean_simulations","nonzero","50","group_lasso","best_case_KL_divergence",1.14396097842998,0.0125360866706187,"nonzerogroup_lassobest_case_KL_divergence"
