"","run","experiment","value","method","oracle","name","mean","two_se"
"41","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR_no_Gamma","ORC_clean","hellinger_distance",0.116551929202521,0.00608195010949954
"42","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR_no_Gamma","ORC_clean","KL_divergence",0.0620427771830283,0.00733971405108318
"43","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR_no_Gamma","ORC_fine_clean","Beta_FPR",0.139826185556684,0.0587925131257082
"44","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR_no_Gamma","ORC_fine_clean","Beta_SSE",11.0497167549367,0.836448364512903
"45","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR_no_Gamma","ORC_fine_clean","Beta_TPR",0.920034052082371,0.0185781073602014
"46","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR_no_Gamma","ORC_fine_clean","error",0.55933,0.0364562940763015
"47","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR_no_Gamma","ORC_fine_clean","hellinger_distance",0.0984865185241684,0.00318358225589441
"48","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR_no_Gamma","ORC_fine_clean","KL_divergence",0.042861630418039,0.00284628094854087
"49","unstructured_splatter_X_and_Beta","nonsparsity","0.1","glmnet_subset","observed","Beta_FPR",0.301640097922431,0.0768208668982795
"50","unstructured_splatter_X_and_Beta","nonsparsity","0.1","glmnet_subset","observed","Beta_SSE",69.6005991514745,9.56207894632631
"51","unstructured_splatter_X_and_Beta","nonsparsity","0.1","glmnet_subset","observed","Beta_TPR",0.829196116908302,0.0310757553351882
"52","unstructured_splatter_X_and_Beta","nonsparsity","0.1","glmnet_subset","observed","error",0.60875,0.0419758157885122
"53","unstructured_splatter_X_and_Beta","nonsparsity","0.1","glmnet_subset","observed","hellinger_distance",0.254664329574168,0.00744869696266897
"54","unstructured_splatter_X_and_Beta","nonsparsity","0.1","glmnet_subset","observed","KL_divergence",0.29547810491785,0.0236096330225611
"55","unstructured_splatter_X_and_Beta","nonsparsity","0.1","glmnet_subset","ORC_fine","Beta_FPR",0.343363004895641,0.0702233547081753
"56","unstructured_splatter_X_and_Beta","nonsparsity","0.1","glmnet_subset","ORC_fine","Beta_SSE",30.9654099116871,3.47709365475991
"57","unstructured_splatter_X_and_Beta","nonsparsity","0.1","glmnet_subset","ORC_fine","Beta_TPR",0.960993689783606,0.047573023761158
"58","unstructured_splatter_X_and_Beta","nonsparsity","0.1","glmnet_subset","ORC_fine","error",0.56025,0.0369576364083107
"59","unstructured_splatter_X_and_Beta","nonsparsity","0.1","glmnet_subset","ORC_fine","hellinger_distance",0.142940840612936,0.00380963251605224
"60","unstructured_splatter_X_and_Beta","nonsparsity","0.1","glmnet_subset","ORC_fine","KL_divergence",0.091838919595767,0.00551966440797418
