"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error"
"Beta_SSE","fine_clean_simulations","K",1,"elastic_net",1,882.60818002783,0.851764705882353,1,2.0608245686147,0.410940475353704,0.3315,443.088414609831,1.65173441540037,0.372270087090206,0.3165
"Beta_SSE1","fine_clean_simulations","K",1,"group_lasso",1,882.60818002783,0.851764705882353,1,2.0608245686147,0.410940475353704,0.3315,443.088414609831,1.65173441540037,0.372270087090206,0.3165
"Beta_SSE2","fine_clean_simulations","K",1,"elastic_net",10,1003.44859094941,0.755294117647059,1,2.37201560831441,0.431541171352111,0.319,501.45658917078,1.82208127098039,0.383479581875755,0.319
"Beta_SSE11","fine_clean_simulations","K",1,"group_lasso",10,1003.44859094941,0.755294117647059,1,2.37201560831441,0.431541171352111,0.319,501.45658917078,1.82208127098039,0.383479581875755,0.319
"Beta_SSE3","fine_clean_simulations","K",1,"elastic_net",11,889.193697127751,0.814117647058824,1,2.07333313935372,0.418409910330209,0.3565,438.751872719055,1.7324030423746,0.388854955823031,0.3455
"Beta_SSE12","fine_clean_simulations","K",1,"group_lasso",11,889.193697127751,0.814117647058824,1,2.07333313935372,0.418409910330209,0.3565,438.751872719055,1.7324030423746,0.388854955823031,0.3455
"Beta_SSE4","fine_clean_simulations","K",1,"elastic_net",12,881.868250841962,0.823529411764706,1,2.0199685757829,0.406792571801246,0.335,454.015740565127,1.73891874861481,0.380434642650661,0.3185
"Beta_SSE13","fine_clean_simulations","K",1,"group_lasso",12,881.868250841962,0.823529411764706,1,2.0199685757829,0.406792571801246,0.335,454.015740565127,1.73891874861481,0.380434642650661,0.3185
"Beta_SSE5","fine_clean_simulations","K",1,"elastic_net",13,970.76642952306,0.877647058823529,1,2.22763139488801,0.425283522855595,0.355,490.765607779248,1.89297950521722,0.396462808330239,0.3355
"Beta_SSE14","fine_clean_simulations","K",1,"group_lasso",13,970.76642952306,0.877647058823529,1,2.22763139488801,0.425283522855595,0.355,490.765607779248,1.89297950521722,0.396462808330239,0.3355
"Beta_SSE6","fine_clean_simulations","K",1,"elastic_net",14,996.708979701943,0.743529411764706,1,2.34865104377806,0.435317029545763,0.361,505.562420266499,1.88963382494082,0.396744636057218,0.352
"Beta_SSE15","fine_clean_simulations","K",1,"group_lasso",14,996.708979701943,0.743529411764706,1,2.34865104377806,0.435317029545763,0.361,505.562420266499,1.88963382494082,0.396744636057218,0.352
"Beta_SSE7","fine_clean_simulations","K",1,"elastic_net",15,869.673324843548,0.830588235294118,1,2.02358993788252,0.416920242154577,0.3605,458.569917067945,1.82290066611664,0.396957372994487,0.3415
"Beta_SSE16","fine_clean_simulations","K",1,"group_lasso",15,869.673324843548,0.830588235294118,1,2.02358993788252,0.416920242154577,0.3605,458.569917067945,1.82290066611664,0.396957372994487,0.3415
"Beta_SSE8","fine_clean_simulations","K",1,"elastic_net",16,887.133257120208,0.835294117647059,1,2.05514362350467,0.412132062733481,0.346,459.659897965567,1.78011118571793,0.386295877216672,0.3105
"Beta_SSE17","fine_clean_simulations","K",1,"group_lasso",16,887.133257120208,0.835294117647059,1,2.05514362350467,0.412132062733481,0.346,459.659897965567,1.78011118571793,0.386295877216672,0.3105
"Beta_SSE9","fine_clean_simulations","K",1,"elastic_net",17,936.483543210526,0.844705882352941,1,2.10002478596632,0.413934358135906,0.3475,478.845053870452,1.80649345896978,0.387556342638256,0.331
"Beta_SSE18","fine_clean_simulations","K",1,"group_lasso",17,936.483543210526,0.844705882352941,1,2.10002478596632,0.413934358135906,0.3475,478.845053870452,1.80649345896978,0.387556342638256,0.331
"Beta_SSE10","fine_clean_simulations","K",1,"elastic_net",18,894.454166606799,0.863529411764706,1,2.04942409496846,0.412923681995774,0.3405,463.706749454444,1.77695462054246,0.38502685326543,0.3275
"Beta_SSE19","fine_clean_simulations","K",1,"group_lasso",18,894.454166606799,0.863529411764706,1,2.04942409496846,0.412923681995774,0.3405,463.706749454444,1.77695462054246,0.38502685326543,0.3275
