"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error","oracle"
"Beta_SSE30","random_X_and_Beta","N",19200,"glmnet_relabel",37,1289.71386303684,1,1,0.809718096371241,0.280763413428099,0.2211,465.048993202591,0.65409617265043,0.246961866387469,0.2078,"observed"
"Beta_SSE31","random_X_and_Beta","N",19200,"glmnet_relabel",38,1061.58890815154,1,1,0.691811837603736,0.260455756501991,0.2331,480.482845373849,0.642911248123788,0.24410783741812,0.2163,"observed"
"Beta_SSE32","random_X_and_Beta","N",19200,"glmnet_relabel",39,1230.27713028838,1,1,0.736604250616853,0.271325230600697,0.2246,575.791346473812,0.603979918416109,0.23872333804028,0.2073,"observed"
"Beta_SSE33","random_X_and_Beta","N",19200,"glmnet_relabel",4,1236.44231203978,1,1,0.767649637070289,0.275071613283399,0.2215,601.898015765104,0.616736177927157,0.240769441013619,0.2103,"observed"
"Beta_SSE34","random_X_and_Beta","N",19200,"glmnet_relabel",40,1015.44303779351,1,1,0.609298855630109,0.248132535220332,0.2226,575.679665923868,0.559432421170057,0.230103216903995,0.2024,"observed"
"Beta_SSE35","random_X_and_Beta","N",19200,"glmnet_relabel",41,1264.81302910097,1,1,0.772556834635027,0.275689793782655,0.2184,615.516513133193,0.623601604241808,0.2413440237533,0.204,"observed"
"Beta_SSE36","random_X_and_Beta","N",19200,"glmnet_relabel",42,1085.89841471651,1,1,0.666461133328947,0.254961784403334,0.2268,645.016380037868,0.618339056951988,0.23865790637389,0.209,"observed"
"Beta_SSE37","random_X_and_Beta","N",19200,"glmnet_relabel",43,1077.18812157891,1,1,0.662837230956527,0.254965935790907,0.2311,638.542293982708,0.612371386429946,0.237692146825516,0.206,"observed"
"Beta_SSE38","random_X_and_Beta","N",19200,"glmnet_relabel",44,1162.43098968138,1,1,0.737532669130232,0.271560428558596,0.2243,525.896991925084,0.623742905407739,0.244003818394609,0.21,"observed"
"Beta_SSE39","random_X_and_Beta","N",19200,"glmnet_relabel",45,1299.11739384207,0.9975,1,0.80150070904423,0.279022973704614,0.2277,658.413185954959,0.644870792446897,0.244691381153785,0.2188,"observed"
"Beta_SSE40","random_X_and_Beta","N",19200,"glmnet_relabel",46,1078.43036206397,1,1,0.651668039490515,0.252441395119551,0.2377,460.897902596014,0.601811404095444,0.235513740155628,0.2161,"observed"
"Beta_SSE41","random_X_and_Beta","N",19200,"glmnet_relabel",47,1053.86933028808,1,1,0.684146017937085,0.26081871611425,0.2309,618.381498573593,0.637675649323592,0.245247477359353,0.2113,"observed"
"Beta_SSE42","random_X_and_Beta","N",19200,"glmnet_relabel",48,1149.77458930004,1,1,0.710303123734719,0.269045283057874,0.2289,534.975981449707,0.577749702400781,0.236756738802207,0.2193,"observed"
"Beta_SSE43","random_X_and_Beta","N",19200,"glmnet_relabel",49,1082.99852425107,1,1,0.667122283262771,0.255080183436559,0.2322,465.191636086389,0.619287487939573,0.238501677898624,0.2127,"observed"
"Beta_SSE44","random_X_and_Beta","N",19200,"glmnet_relabel",5,1037.83248858987,1,1,0.6589584962142,0.254251850479617,0.2296,428.427724878843,0.613148073160524,0.23834269925049,0.2045,"observed"
"Beta_SSE45","random_X_and_Beta","N",19200,"glmnet_relabel",50,1208.09004771517,1,1,0.730566881097271,0.271297859908191,0.2197,565.518116121887,0.593482108566515,0.238647430888809,0.2056,"observed"
"Beta_SSE46","random_X_and_Beta","N",19200,"glmnet_relabel",6,1011.26261555864,1,1,0.649049065566867,0.254551377111678,0.2299,581.000043497573,0.603277885156095,0.239320349102237,0.2117,"observed"
"Beta_SSE47","random_X_and_Beta","N",19200,"glmnet_relabel",7,1217.38342238976,0.9975,1,0.738673252320156,0.269895551627158,0.2188,572.55086792074,0.601268251177261,0.237307815083909,0.2037,"observed"
"Beta_SSE48","random_X_and_Beta","N",19200,"glmnet_relabel",8,1200.48440742503,1,1,0.723394384464327,0.270834118279016,0.2171,550.564148619588,0.587675867768324,0.238767026539552,0.2039,"observed"
