"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error","oracle"
"Beta_SSE249","random_X_and_Beta","N",19200,"IBMR_no_Gamma",9,814.842238692632,1,1,0.363957122964516,0.199541999051436,0.1828,144.066807145345,0.29412183513073,0.170897995752852,0.1719,"ORC_fine"
"Beta_SSE250","random_X_and_Beta","N",2400,"glmnet_relabel",1,2677.03375556125,0.7775,1,8.42666647511108,0.668980943975403,0.614,2091.28649800352,7.08547915536676,0.650196227052782,0.606,"observed"
"Beta_SSE251","random_X_and_Beta","N",2400,"glmnet_relabel",10,2634.26518731808,0.7525,1,8.31962568567744,0.662102789338116,0.5911,2019.88194630492,6.69986690111583,0.638204825088895,0.5832,"observed"
"Beta_SSE252","random_X_and_Beta","N",2400,"glmnet_relabel",11,2614.7294234692,0.6575,1,8.30934148192384,0.665390064402375,0.5929,1990.07325291217,6.55957535943165,0.636075303590541,0.5929,"observed"
"Beta_SSE253","random_X_and_Beta","N",2400,"glmnet_relabel",12,2512.89041773916,0.7025,1,7.91395194237496,0.653558829794165,0.5631,1919.90697060605,6.26240151058493,0.623757787684906,0.5588,"observed"
"Beta_SSE254","random_X_and_Beta","N",2400,"glmnet_relabel",13,2679.78617377403,0.715,1,8.35026344117336,0.668682870388439,0.6019,2104.42016682126,6.9605943735961,0.647536995456546,0.5954,"observed"
"Beta_SSE255","random_X_and_Beta","N",2400,"glmnet_relabel",14,2691.75429709276,0.76,1,8.00662927425009,0.656581878176638,0.5831,2031.06166851373,6.35481980096952,0.628471180302835,0.5718,"observed"
"Beta_SSE256","random_X_and_Beta","N",2400,"glmnet_relabel",15,2562.22276148291,0.7625,1,7.95312725718849,0.661143941537057,0.6012,1972.14239881256,6.73046307436533,0.64372389824865,0.5887,"observed"
"Beta_SSE257","random_X_and_Beta","N",2400,"glmnet_relabel",16,2543.22620161677,0.705,1,7.86084984251085,0.656879481357003,0.5785,1954.78906600497,6.38821007309615,0.631232892367878,0.569,"observed"
"Beta_SSE258","random_X_and_Beta","N",2400,"glmnet_relabel",18,2679.96459470625,0.73,1,7.90286056838031,0.654069616544216,0.5731,2008.41725656392,6.26412516874588,0.626480008915665,0.568,"observed"
"Beta_SSE259","random_X_and_Beta","N",2400,"glmnet_relabel",19,2653.50148878828,0.7775,1,8.33232207911017,0.669677237417018,0.6061,2045.92253404139,6.95317888835654,0.649793862128952,0.5992,"observed"
"Beta_SSE260","random_X_and_Beta","N",2400,"glmnet_relabel",2,2730.35219978456,0.68,1,8.41767563001611,0.666810482754425,0.585,2135.98529660614,6.79243699010589,0.640847169682073,0.5842,"observed"
"Beta_SSE261","random_X_and_Beta","N",2400,"glmnet_relabel",20,2659.48213843089,0.7325,1,7.98641674454946,0.657202806602152,0.5803,2072.43368776638,6.5417881623487,0.633178099561342,0.5757,"observed"
"Beta_SSE262","random_X_and_Beta","N",2400,"glmnet_relabel",21,2568.63132631751,0.6725,1,8.22182886978661,0.668037120188902,0.6059,1963.97233999378,6.68032216468584,0.642674167026108,0.6059,"observed"
"Beta_SSE263","random_X_and_Beta","N",2400,"glmnet_relabel",22,2581.47431814251,0.7125,1,7.90384655960978,0.663109572153108,0.6116,1997.97288831818,6.56810877086441,0.641765024943486,0.6087,"observed"
"Beta_SSE264","random_X_and_Beta","N",2400,"glmnet_relabel",23,2644.49993409513,0.76,1,8.42722541957715,0.673721911151732,0.6124,2059.97744647333,7.07645710001445,0.655158295269389,0.6011,"observed"
"Beta_SSE265","random_X_and_Beta","N",2400,"glmnet_relabel",24,2618.45762455893,0.7975,1,8.52430554733087,0.678263551598383,0.6202,2098.28836499835,7.21358628188373,0.659158140723259,0.6077,"observed"
"Beta_SSE266","random_X_and_Beta","N",2400,"glmnet_relabel",25,2649.14020912795,0.7425,1,8.17360510764359,0.666218102020669,0.607,2123.75271853306,6.84037535160409,0.647493928660353,0.6009,"observed"
"Beta_SSE267","random_X_and_Beta","N",2400,"glmnet_relabel",26,2702.47907956605,0.64,1,8.4022983594733,0.668971173326395,0.5871,2044.91886501198,6.65122605359567,0.637940479556422,0.5871,"observed"
"Beta_SSE268","random_X_and_Beta","N",2400,"glmnet_relabel",27,2637.78623248465,0.635,1,8.16193982686254,0.664111484880518,0.5894,2053.43414336327,6.65121912312994,0.639013293193785,0.5894,"observed"
"Beta_SSE269","random_X_and_Beta","N",2400,"glmnet_relabel",28,2561.33520605571,0.765,1,7.87084936260751,0.659351225046145,0.5945,1972.15952089998,6.55511780522066,0.637209450502715,0.5838,"observed"
"Beta_SSE270","random_X_and_Beta","N",2400,"glmnet_relabel",29,2776.96257706793,0.67,1,8.35381010193444,0.66880492087113,0.5971,2147.31964153417,6.90869297102983,0.647038197800304,0.5946,"observed"
"Beta_SSE271","random_X_and_Beta","N",2400,"glmnet_relabel",3,2480.92577689175,0.8375,1,7.06456989925042,0.630611144794896,0.568,1887.21972725343,5.98920733340898,0.610392959858951,0.5539,"observed"
"Beta_SSE272","random_X_and_Beta","N",2400,"glmnet_relabel",30,2720.90585172736,0.7525,1,8.37324143008182,0.664546133538824,0.5905,2157.72323957688,6.88107144180927,0.641277872798609,0.5862,"observed"
"Beta_SSE273","random_X_and_Beta","N",2400,"glmnet_relabel",31,2702.31579799544,0.6775,1,8.52344293977566,0.672218947802588,0.596,2136.32241416518,6.86446724146616,0.64453854916244,0.596,"observed"
"Beta_SSE274","random_X_and_Beta","N",2400,"glmnet_relabel",32,2604.62055953036,0.735,1,8.12320926225807,0.661132761262185,0.5875,2037.63973994509,6.77164445047958,0.640624818014516,0.578,"observed"
"Beta_SSE275","random_X_and_Beta","N",2400,"glmnet_relabel",33,2507.22809973503,0.81,1,7.83767508689475,0.660865317411593,0.6057,1938.70518075003,6.69982180557474,0.644206139420689,0.5875,"observed"
"Beta_SSE276","random_X_and_Beta","N",2400,"glmnet_relabel",34,2512.32309913451,0.8725,1,7.68606347014584,0.657068670184985,0.6154,1999.83410589848,6.63357477296834,0.642035830473575,0.6019,"observed"
"Beta_SSE277","random_X_and_Beta","N",2400,"glmnet_relabel",35,2626.12939294917,0.74,1,7.96760055377236,0.656442883259545,0.5789,2016.96975783156,6.52742940740463,0.632983060639354,0.5662,"observed"
"Beta_SSE278","random_X_and_Beta","N",2400,"glmnet_relabel",36,2578.53722878035,0.6975,1,8.29137301680501,0.666975135717873,0.6008,1997.89550791392,6.86569534612702,0.642988960973129,0.5987,"observed"
"Beta_SSE279","random_X_and_Beta","N",2400,"glmnet_relabel",37,2654.63748909011,0.77,1,8.22228128402338,0.661492536601444,0.5898,2121.05294650578,6.92697709548213,0.64058379519243,0.5835,"observed"
"Beta_SSE280","random_X_and_Beta","N",2400,"glmnet_relabel",38,2565.73810647302,0.66,1,7.75864022834183,0.654128234718398,0.5786,1978.2259338119,6.23399721419377,0.625301515070648,0.5786,"observed"
"Beta_SSE281","random_X_and_Beta","N",2400,"glmnet_relabel",39,2649.32702996961,0.7425,1,8.30661152087277,0.667737097557808,0.5991,2033.1663241438,6.840401155799,0.645059810592579,0.5907,"observed"
"Beta_SSE282","random_X_and_Beta","N",2400,"glmnet_relabel",4,2592.34232277271,0.7275,1,7.78808457345847,0.650901209547097,0.5714,2006.88096706418,6.33705907388828,0.62466885273753,0.5668,"observed"
"Beta_SSE283","random_X_and_Beta","N",2400,"glmnet_relabel",40,2607.66480208607,0.7025,1,8.00951203548543,0.662002273809552,0.5912,2004.9793016996,6.48236154875938,0.635907413756763,0.5912,"observed"
"Beta_SSE284","random_X_and_Beta","N",2400,"glmnet_relabel",41,2637.54055191889,0.685,1,7.95334568712696,0.655283514723488,0.5829,1998.80790408065,6.46039601563874,0.626778766037306,0.5819,"observed"
"Beta_SSE285","random_X_and_Beta","N",2400,"glmnet_relabel",42,2666.24269036867,0.6975,1,7.91939980838482,0.653259359486321,0.5645,2008.45815039669,6.20648686711786,0.622651364350373,0.5611,"observed"
"Beta_SSE286","random_X_and_Beta","N",2400,"glmnet_relabel",43,2650.83222159677,0.6575,1,8.12395483534531,0.656958240094308,0.571,2022.55935817603,6.37813902045482,0.625395885279085,0.5678,"observed"
"Beta_SSE287","random_X_and_Beta","N",2400,"glmnet_relabel",44,2584.13878698969,0.755,1,8.22733419671919,0.668154963331984,0.6038,2021.3309347212,6.88766744125394,0.647186257033137,0.5942,"observed"
"Beta_SSE288","random_X_and_Beta","N",2400,"glmnet_relabel",45,2691.36370034138,0.675,0.98,8.33937400401941,0.661718964548662,0.5867,2096.51964764124,6.76832218003691,0.635057421184656,0.5867,"observed"
"Beta_SSE289","random_X_and_Beta","N",2400,"glmnet_relabel",46,2648.74472088834,0.72,1,8.0840044854527,0.661562285589079,0.5873,2048.82397005501,6.46495612077497,0.633518990956277,0.5788,"observed"
"Beta_SSE290","random_X_and_Beta","N",2400,"glmnet_relabel",47,2647.59753100671,0.685,1,8.45608121381273,0.67044188657163,0.5849,2010.51477750302,6.59708573987682,0.636254277539488,0.5849,"observed"
"Beta_SSE291","random_X_and_Beta","N",2400,"glmnet_relabel",48,2531.00604628631,0.7725,1,7.82751640281025,0.657956422266764,0.5922,1984.06453399879,6.50323556312534,0.635794530599687,0.5762,"observed"
"Beta_SSE292","random_X_and_Beta","N",2400,"glmnet_relabel",49,2665.03392014267,0.7125,0.99,8.10311739551008,0.655999909275533,0.5686,2021.72376894328,6.34321365909204,0.623743682733297,0.5641,"observed"
"Beta_SSE293","random_X_and_Beta","N",2400,"glmnet_relabel",5,2643.33765779242,0.6825,1,8.40568402906712,0.667660671281065,0.5944,2054.31800360417,6.7722514838095,0.640235937135321,0.5944,"observed"
"Beta_SSE294","random_X_and_Beta","N",2400,"glmnet_relabel",50,2575.39790849316,0.7075,1,7.7960335764812,0.649605535191006,0.563,1952.19959603152,6.28878124280729,0.622672614254277,0.5514,"observed"
"Beta_SSE295","random_X_and_Beta","N",2400,"glmnet_relabel",6,2576.74345905888,0.7225,1,7.96753844408886,0.660558280680937,0.5952,1964.9315657309,6.48355981875863,0.635005636671288,0.5934,"observed"
"Beta_SSE296","random_X_and_Beta","N",2400,"glmnet_relabel",7,2635.05207169849,0.725,1,8.01619094276204,0.660548623329762,0.5875,2015.31778706647,6.48211555518025,0.635157785876174,0.5851,"observed"
"Beta_SSE297","random_X_and_Beta","N",2400,"glmnet_relabel",8,2600.88248270998,0.735,1,8.13884921873285,0.666282731030759,0.6073,1983.89514453415,6.6780396194377,0.643001021482187,0.5971,"observed"
"Beta_SSE298","random_X_and_Beta","N",2400,"glmnet_relabel",9,2541.17816907767,0.69,1,7.93973346620042,0.657148922396419,0.5645,1902.71740202971,6.26490970541806,0.623961493317911,0.5645,"observed"
"Beta_SSE299","random_X_and_Beta","N",2400,"glmnet_relabel",1,2176.54724896769,0.8725,1,3.81076586042113,0.510621437872859,0.428,1255.61103826673,2.84698761428201,0.463531416505425,0.4114,"ORC_fine"
"Beta_SSE300","random_X_and_Beta","N",2400,"glmnet_relabel",10,2173.53150007859,0.87,1,3.82787615600621,0.508676736661365,0.4206,1284.98588194964,2.86059036537489,0.4629856766098,0.407,"ORC_fine"
"Beta_SSE301","random_X_and_Beta","N",2400,"glmnet_relabel",11,2133.92526063205,0.8725,1,3.74265333187421,0.506921687270838,0.4164,1253.17133789263,2.77813565898075,0.457573219436809,0.405,"ORC_fine"
"Beta_SSE302","random_X_and_Beta","N",2400,"glmnet_relabel",12,1975.08285722768,0.895,1,3.36318990222446,0.489547912954754,0.4151,1215.89922915711,2.68907193192014,0.453725041772655,0.3982,"ORC_fine"
"Beta_SSE303","random_X_and_Beta","N",2400,"glmnet_relabel",13,2169.68301338495,0.8675,1,3.75036664757877,0.509809955663876,0.4249,1255.29146074619,2.84687250167997,0.465320430410028,0.4113,"ORC_fine"
"Beta_SSE304","random_X_and_Beta","N",2400,"glmnet_relabel",14,2200.22158521114,0.88,1,3.76462558391639,0.507448434554902,0.42,1271.54741547323,2.78103309850015,0.458047179734534,0.3995,"ORC_fine"
"Beta_SSE305","random_X_and_Beta","N",2400,"glmnet_relabel",15,2081.70640557587,0.895,1,3.59796676140578,0.504121661533949,0.4259,1174.56276061611,2.69896667554398,0.457080086918341,0.4083,"ORC_fine"
"Beta_SSE306","random_X_and_Beta","N",2400,"glmnet_relabel",16,2068.07370452791,0.8675,1,3.58231443679632,0.501925976330557,0.4141,1195.87958488607,2.72412217194926,0.45649808798436,0.3996,"ORC_fine"
"Beta_SSE307","random_X_and_Beta","N",2400,"glmnet_relabel",17,2048.85564284552,0.905,1,3.47875444971996,0.497179894563742,0.4276,1243.7420984078,2.80760096360188,0.462476068471405,0.4132,"ORC_fine"
"Beta_SSE308","random_X_and_Beta","N",2400,"glmnet_relabel",18,2188.48365769149,0.89,1,3.70980325280211,0.507549567367508,0.4187,1252.86601304332,2.80171735087509,0.462012515600073,0.4005,"ORC_fine"
"Beta_SSE309","random_X_and_Beta","N",2400,"glmnet_relabel",19,2140.47331322916,0.875,1,3.72172253836063,0.511122333868019,0.4285,1228.72445422204,2.8522077025158,0.467416956861129,0.4136,"ORC_fine"
"Beta_SSE310","random_X_and_Beta","N",2400,"glmnet_relabel",2,2143.5029362123,0.9175,1,3.52831066365365,0.497371203096322,0.4339,1304.86794168535,2.8308278364401,0.460408943800541,0.4143,"ORC_fine"
"Beta_SSE311","random_X_and_Beta","N",2400,"glmnet_relabel",20,2165.40860268442,0.88,1,3.74820554012217,0.506682109493167,0.4189,1275.80520615134,2.83582333963841,0.460608542334622,0.402,"ORC_fine"
"Beta_SSE312","random_X_and_Beta","N",2400,"glmnet_relabel",21,2011.10483391611,0.9125,1,3.36848977067696,0.491964455405359,0.4207,1208.8345494992,2.68546867119338,0.454407433906879,0.4032,"ORC_fine"
"Beta_SSE313","random_X_and_Beta","N",2400,"glmnet_relabel",22,2108.6763823435,0.8425,1,3.75323469075292,0.514788344511011,0.438,1203.8588962757,2.802629563532,0.467871893793427,0.4182,"ORC_fine"
"Beta_SSE314","random_X_and_Beta","N",2400,"glmnet_relabel",23,2047.40885321589,0.925,1,3.39440467361507,0.495194905034923,0.4277,1232.58653446134,2.73610312319574,0.459515306162523,0.4118,"ORC_fine"
"Beta_SSE315","random_X_and_Beta","N",2400,"glmnet_relabel",24,2107.98331934534,0.855,1,3.6985937706595,0.509392693021466,0.4261,1207.62774786602,2.82447124950597,0.464127833827624,0.4072,"ORC_fine"
"Beta_SSE316","random_X_and_Beta","N",2400,"glmnet_relabel",25,2148.22856853085,0.8825,1,3.68694974984506,0.506646514484458,0.4237,1265.9552435742,2.72985722195428,0.458256695120163,0.4104,"ORC_fine"
"Beta_SSE317","random_X_and_Beta","N",2400,"glmnet_relabel",26,2083.98140626152,0.9325,1,3.39136916004959,0.49024792915569,0.4197,1253.51872837,2.7864543951459,0.456738318065369,0.4014,"ORC_fine"
"Beta_SSE318","random_X_and_Beta","N",2400,"glmnet_relabel",27,2125.93745180098,0.86,1,3.67204883814313,0.503843988770481,0.4137,1230.98189187227,2.76466719712588,0.456169200112805,0.3999,"ORC_fine"
"Beta_SSE319","random_X_and_Beta","N",2400,"glmnet_relabel",28,2087.42894416919,0.8775,1,3.69572655683808,0.508728075618692,0.4323,1205.73780782192,2.80278566300278,0.463188138183786,0.4196,"ORC_fine"
"Beta_SSE320","random_X_and_Beta","N",2400,"glmnet_relabel",29,2262.96250382271,0.855,1,3.83723713808473,0.513493557967072,0.4244,1318.29600704058,2.85652119224566,0.464927360810995,0.4156,"ORC_fine"
"Beta_SSE321","random_X_and_Beta","N",2400,"glmnet_relabel",3,2013.96005189151,0.9,1,3.30968480005594,0.485347575008637,0.4146,1202.56550254879,2.60541287711135,0.445915696101746,0.3935,"ORC_fine"
"Beta_SSE322","random_X_and_Beta","N",2400,"glmnet_relabel",30,2112.59599869545,0.91,1,3.39806584331541,0.487911239829966,0.4207,1288.59484485274,2.7745009937116,0.454048484508925,0.3977,"ORC_fine"
"Beta_SSE323","random_X_and_Beta","N",2400,"glmnet_relabel",31,2083.07239040477,0.9375,1,3.42418686737141,0.492394400258043,0.4301,1288.20360825445,2.80642874081565,0.460012228478414,0.404,"ORC_fine"
"Beta_SSE324","random_X_and_Beta","N",2400,"glmnet_relabel",32,2125.12222306318,0.8475,1,3.73419151585404,0.505523401384826,0.4129,1255.7075847318,2.83479016615282,0.460097079203887,0.4004,"ORC_fine"
"Beta_SSE325","random_X_and_Beta","N",2400,"glmnet_relabel",33,2030.99856882874,0.89,1,3.50897753638703,0.501951415696567,0.4201,1165.88435096724,2.66507230002539,0.455809444303591,0.408,"ORC_fine"
"Beta_SSE326","random_X_and_Beta","N",2400,"glmnet_relabel",34,2001.77736372294,0.905,1,3.35160161639906,0.491541788781158,0.4288,1200.23085458073,2.63738132564964,0.452633297145111,0.4149,"ORC_fine"
"Beta_SSE327","random_X_and_Beta","N",2400,"glmnet_relabel",35,2136.44289679044,0.8725,1,3.68407605543363,0.504644287930389,0.4154,1223.29861774222,2.71008263182611,0.453445787062223,0.3972,"ORC_fine"
"Beta_SSE328","random_X_and_Beta","N",2400,"glmnet_relabel",36,1999.17088894287,0.935,1,3.38007144073926,0.490603143611685,0.429,1217.50106265652,2.79691697680722,0.45908115867798,0.4021,"ORC_fine"
"Beta_SSE329","random_X_and_Beta","N",2400,"glmnet_relabel",37,2175.60257970392,0.855,1,3.72726619412608,0.50605404354312,0.409,1274.9019371806,2.73428198772867,0.454117500456103,0.3979,"ORC_fine"
"Beta_SSE330","random_X_and_Beta","N",2400,"glmnet_relabel",38,1980.26809610694,0.9025,1,3.22928234920862,0.484224322131246,0.423,1204.08261831827,2.62854445057854,0.45079380024639,0.4026,"ORC_fine"
"Beta_SSE331","random_X_and_Beta","N",2400,"glmnet_relabel",39,2168.13049808061,0.875,1,3.76826010865235,0.509497206360571,0.4201,1261.79607579518,2.81342446128478,0.461591991125703,0.4072,"ORC_fine"
"Beta_SSE332","random_X_and_Beta","N",2400,"glmnet_relabel",4,1994.36918164069,0.9125,1,3.2179334746626,0.481092863228698,0.4198,1199.43890024938,2.64485166740538,0.448666783476321,0.4002,"ORC_fine"
"Beta_SSE333","random_X_and_Beta","N",2400,"glmnet_relabel",40,2118.21329857277,0.8725,1,3.71390238115452,0.508676706686113,0.4286,1219.71615050318,2.75353260756914,0.460689454951957,0.4149,"ORC_fine"
"Beta_SSE334","random_X_and_Beta","N",2400,"glmnet_relabel",41,2162.81221763587,0.84,1,3.65877966004947,0.502482322547559,0.4142,1239.11943836355,2.69304189534173,0.451390963334714,0.4048,"ORC_fine"
"Beta_SSE335","random_X_and_Beta","N",2400,"glmnet_relabel",42,2106.39791275209,0.9175,1,3.48909595166097,0.49595403194019,0.4358,1290.75503356909,2.82259048250486,0.461959034531412,0.4171,"ORC_fine"
"Beta_SSE336","random_X_and_Beta","N",2400,"glmnet_relabel",43,2096.37829104189,0.9125,1,3.42681357983487,0.490739933636479,0.4146,1264.19950843981,2.65469283742285,0.449436551342601,0.3971,"ORC_fine"
"Beta_SSE337","random_X_and_Beta","N",2400,"glmnet_relabel",44,2054.47688688935,0.9,1,3.51054710754693,0.499315332887952,0.4147,1135.09596839345,2.639345331807,0.451984990114363,0.4009,"ORC_fine"
"Beta_SSE338","random_X_and_Beta","N",2400,"glmnet_relabel",45,2194.40757057796,0.8775,1,3.80592165603875,0.506569807271677,0.4238,1291.15727729172,2.84586461418805,0.45721074125901,0.4103,"ORC_fine"
"Beta_SSE339","random_X_and_Beta","N",2400,"glmnet_relabel",46,2148.87846238134,0.8925,1,3.73506179110063,0.50759250759704,0.4296,1264.80731782818,2.84099320076059,0.463358020259282,0.4167,"ORC_fine"
"Beta_SSE340","random_X_and_Beta","N",2400,"glmnet_relabel",47,2135.03113428642,0.89,1,3.65777792572276,0.503908112489378,0.4091,1245.84969760293,2.73068238788209,0.45518588026037,0.3941,"ORC_fine"
"Beta_SSE341","random_X_and_Beta","N",2400,"glmnet_relabel",48,2051.81812591414,0.84,1,3.69195881310774,0.509233062490658,0.4245,1195.00345046665,2.80781515267789,0.465074743609671,0.4097,"ORC_fine"
"Beta_SSE342","random_X_and_Beta","N",2400,"glmnet_relabel",49,2098.07624748347,0.9325,1,3.41392667956589,0.488132068796116,0.4155,1292.36375929322,2.74992248761749,0.452432568394308,0.3972,"ORC_fine"
"Beta_SSE343","random_X_and_Beta","N",2400,"glmnet_relabel",5,2153.41836039743,0.845,1,3.79612968415239,0.51168098178076,0.4167,1261.89195142776,2.75300245449369,0.460115106423848,0.4025,"ORC_fine"
"Beta_SSE344","random_X_and_Beta","N",2400,"glmnet_relabel",50,2111.6019558079,0.895,1,3.6702369025261,0.502435309953801,0.4123,1234.96681391918,2.75923961538246,0.456320431663694,0.3961,"ORC_fine"
"Beta_SSE345","random_X_and_Beta","N",2400,"glmnet_relabel",6,2002.7690783942,0.925,1,3.32680745828737,0.490874425393691,0.4298,1207.81795997608,2.69737002101937,0.457687459853708,0.4081,"ORC_fine"
"Beta_SSE346","random_X_and_Beta","N",2400,"glmnet_relabel",7,2146.39941483446,0.8625,1,3.66023547979995,0.508000708857058,0.4262,1245.59200962193,2.77517110617609,0.464760878718985,0.4102,"ORC_fine"
"Beta_SSE347","random_X_and_Beta","N",2400,"glmnet_relabel",8,2111.48744347279,0.87,1,3.69254962453042,0.509455702835029,0.4279,1268.60475159723,2.80254921976865,0.465090777619998,0.4113,"ORC_fine"
"Beta_SSE348","random_X_and_Beta","N",2400,"glmnet_relabel",9,2077.51268463727,0.89,1,3.69498392241211,0.506945936646405,0.4102,1216.32178163337,2.78043340141129,0.460131775955205,0.3947,"ORC_fine"
"Beta_SSE349","random_X_and_Beta","N",2400,"glmnet_subset",1,2912.86101663256,0.4275,0.94,12.8711671222582,0.763393285200819,0.7471,2707.920130265,10.3319422724343,0.736114145360586,0.7471,"observed"
"Beta_SSE350","random_X_and_Beta","N",2400,"glmnet_subset",10,2891.53002120067,0.43,0.93,13.1655602978321,0.763814730069944,0.7447,2684.46579228865,10.4413843888235,0.736722970695658,0.7447,"observed"
"Beta_SSE351","random_X_and_Beta","N",2400,"glmnet_subset",11,2855.52031085028,0.38,0.91,12.8374682328064,0.762342488396825,0.739,2640.82723631725,10.0098962849755,0.730428578682505,0.739,"observed"
"Beta_SSE352","random_X_and_Beta","N",2400,"glmnet_subset",12,2747.61675971492,0.42,0.89,12.4151174378149,0.75455762727741,0.7282,2528.18986823878,9.68587920140495,0.722433834763745,0.728,"observed"
"Beta_SSE353","random_X_and_Beta","N",2400,"glmnet_subset",13,2904.16753493318,0.435,0.93,12.6011333343962,0.760307318650774,0.7367,2693.6004667857,10.0000040731798,0.731660532732769,0.7367,"observed"
"Beta_SSE354","random_X_and_Beta","N",2400,"glmnet_subset",14,2942.65755836073,0.4325,0.94,12.6590376974102,0.757966843349868,0.7432,2714.89099192128,10.0292336603564,0.731259267815385,0.7429,"observed"
"Beta_SSE355","random_X_and_Beta","N",2400,"glmnet_subset",15,2808.26661536226,0.435,0.95,12.5208121980349,0.759551560818673,0.7427,2590.73350194311,9.913753709799,0.732144460994906,0.7427,"observed"
"Beta_SSE356","random_X_and_Beta","N",2400,"glmnet_subset",16,2773.96455769995,0.4525,0.97,12.1582058440588,0.754082592678606,0.731,2554.40735149456,9.61721928220376,0.724355985052415,0.7275,"observed"
"Beta_SSE357","random_X_and_Beta","N",2400,"glmnet_subset",18,2936.82439276969,0.4175,0.9,12.6569328427911,0.758918212951323,0.7417,2729.04267423921,10.0895909482717,0.7324746121213,0.7408,"observed"
"Beta_SSE358","random_X_and_Beta","N",2400,"glmnet_subset",19,2873.9652012319,0.45,0.95,12.3912012004128,0.759177034396287,0.7532,2652.52256589144,9.9975057414949,0.736867300591084,0.7507,"observed"
"Beta_SSE359","random_X_and_Beta","N",2400,"glmnet_subset",2,2940.69871245208,0.43,0.96,12.6635820640193,0.755547578943212,0.7287,2707.05632015756,9.97875447133217,0.726073613729954,0.721,"observed"
"Beta_SSE360","random_X_and_Beta","N",2400,"glmnet_subset",20,2898.40927526471,0.405,0.92,12.7221273881617,0.759889741200094,0.7336,2675.48401199286,9.93540336621897,0.72902798092747,0.7336,"observed"
"Beta_SSE361","random_X_and_Beta","N",2400,"glmnet_subset",21,2783.4665271813,0.4175,0.93,12.2583157470409,0.756330693916663,0.7394,2562.86966782536,9.65069088980878,0.72851699305315,0.7364,"observed"
"Beta_SSE362","random_X_and_Beta","N",2400,"glmnet_subset",22,2814.58589081884,0.425,0.91,11.915121520632,0.753726557692477,0.7358,2596.89915076391,9.53829149023906,0.726056988732747,0.7358,"observed"
"Beta_SSE363","random_X_and_Beta","N",2400,"glmnet_subset",23,2899.59393576121,0.44,0.93,13.2200856304702,0.774733497862647,0.7738,2723.35961619904,10.9207280221205,0.754838358638385,0.7727,"observed"
"Beta_SSE364","random_X_and_Beta","N",2400,"glmnet_subset",24,2844.68341971573,0.44,0.93,12.8278037806749,0.771296078327083,0.769,2644.56712674084,10.4792528970026,0.750527387457272,0.7682,"observed"
"Beta_SSE365","random_X_and_Beta","N",2400,"glmnet_subset",25,2876.06583339303,0.4125,0.92,12.5042386726742,0.758657641043443,0.7358,2668.71858314172,9.94948070616165,0.730414618257086,0.7358,"observed"
"Beta_SSE366","random_X_and_Beta","N",2400,"glmnet_subset",26,2916.29219394943,0.445,0.94,12.4306577662319,0.755209151562332,0.7315,2675.19096005817,9.74320037243688,0.726239225021063,0.7315,"observed"
"Beta_SSE367","random_X_and_Beta","N",2400,"glmnet_subset",27,2838.33101900012,0.425,0.96,12.2578406914456,0.753670948065288,0.7226,2610.33315635114,9.53047637741755,0.722913123794688,0.7207,"observed"
"Beta_SSE368","random_X_and_Beta","N",2400,"glmnet_subset",28,2813.9430022974,0.4125,0.97,12.309800647314,0.757998661765679,0.7361,2612.99003396953,9.84409947299677,0.730257412631603,0.7349,"observed"
"Beta_SSE369","random_X_and_Beta","N",2400,"glmnet_subset",29,3022.20104980026,0.3725,0.94,12.4953922502943,0.757289385968799,0.7322,2800.59093292262,9.82613074512552,0.729052411643627,0.7314,"observed"
"Beta_SSE370","random_X_and_Beta","N",2400,"glmnet_subset",3,2788.95453955149,0.455,0.94,12.2980931210565,0.749505717444333,0.7143,2571.09918425115,9.60464697887978,0.716752665023942,0.7065,"observed"
"Beta_SSE371","random_X_and_Beta","N",2400,"glmnet_subset",30,2940.06280138115,0.4325,0.95,12.8707743231448,0.758168856155653,0.7318,2742.59324334581,10.3792039703826,0.731496331088344,0.7294,"observed"
"Beta_SSE372","random_X_and_Beta","N",2400,"glmnet_subset",31,2902.88175792949,0.425,0.9,12.6047208990473,0.758646768030613,0.7376,2710.39828889827,10.0899937378671,0.732223622470063,0.7333,"observed"
"Beta_SSE373","random_X_and_Beta","N",2400,"glmnet_subset",32,2822.1319230658,0.4175,0.92,12.6768899957782,0.758042156572496,0.7291,2617.42511600904,9.95221950041067,0.726804600709091,0.7249,"observed"
"Beta_SSE374","random_X_and_Beta","N",2400,"glmnet_subset",33,2761.20388717436,0.475,0.95,12.2874821867206,0.760879443586701,0.7433,2556.26896279691,9.93166808825101,0.736983353436253,0.7433,"observed"
"Beta_SSE375","random_X_and_Beta","N",2400,"glmnet_subset",34,2775.30687828752,0.425,0.88,12.2438226888419,0.757085697712781,0.737,2579.82144990439,9.90180006168218,0.732073619597747,0.7347,"observed"
"Beta_SSE376","random_X_and_Beta","N",2400,"glmnet_subset",35,2870.05196783193,0.41,0.93,12.4339971528915,0.755241510582521,0.7325,2653.71845695334,9.86252036631346,0.72661178164513,0.7322,"observed"
